"Tissue","Gene","Variable","Median_TPM","coefficient","pvalue","FDR"
"Small Intestine - Terminal Ileum","ENSG00000130234.10","AGE",29.775,0.989777985959483,0.323777102220489,0.601658412001022
"Minor Salivary Gland","ENSG00000130234.10","SEX",2.0045,0.969079355418503,0.334319030038906,0.601658412001022
"Heart - Left Ventricle","ENSG00000130234.10","AGE",7.881,0.959392463757996,0.337987567261634,0.601658412001022
"Pancreas","ENSG00000130234.10","SEX",1.469,-0.937366501047893,0.349350045678013,0.601658412001022
"Stomach","ENSG00000184012.11","AGE",114.5,-0.934947897374712,0.350547579791565,0.835921151810655
"Colon - Transverse","ENSG00000130234.10","AGE",3.653,-0.839803399335959,0.401588647611521,0.631741496356199
"Skin - Sun Exposed (Lower leg)","ENSG00000184012.11","AGE",6.956,0.830847490197623,0.406401085904736,0.866200944633156
"Adipose - Visceral (Omentum)","ENSG00000130234.10","SEX",8.497,-0.828937865423583,0.407575158939483,0.631741496356199
"Heart - Atrial Appendage","ENSG00000130234.10","SEX",5.6345,0.692334752622677,0.489177198877282,0.722118722152178
"Kidney - Cortex","ENSG00000184012.11","SEX",30.61,0.639063196191456,0.525297718492592,0.866200944633156
"Liver","ENSG00000184012.11","AGE",12.61,0.618470308091946,0.536998374179305,0.866200944633156
"Esophagus - Mucosa","ENSG00000184012.11","SEX",28.18,-0.601555271799465,0.547754208204999,0.866200944633156
"Small Intestine - Terminal Ileum","ENSG00000184012.11","SEX",42.605,0.57396152526695,0.566799810669784,0.866200944633156
"Artery - Coronary","ENSG00000130234.10","SEX",1.598,0.541882265829461,0.588508892089379,0.821394130080312
"Adipose - Visceral (Omentum)","ENSG00000130234.10","AGE",8.497,0.511254430521761,0.609421451349909,0.821394130080312
"Minor Salivary Gland","ENSG00000184012.11","SEX",41.785,-0.487601794201044,0.62665956915197,0.866200944633156
"Skin - Not Sun Exposed (Suprapubic)","ENSG00000184012.11","AGE",4.718,0.440414425881051,0.659826554451702,0.866200944633156
"Heart - Left Ventricle","ENSG00000130234.10","SEX",7.881,-0.390486618449284,0.69640146791296,0.884034765899843
"Small Intestine - Terminal Ileum","ENSG00000184012.11","AGE",42.605,0.375662829880638,0.70766515523217,0.866200944633156
"Esophagus - Mucosa","ENSG00000130234.10","AGE",2.454,0.368139831173842,0.712931262822454,0.884034765899843
"Esophagus - Mucosa","ENSG00000184012.11","AGE",28.18,-0.363966973244879,0.716042936014971,0.866200944633156
"Colon - Transverse","ENSG00000184012.11","SEX",68.72,0.361005176592065,0.718312139526303,0.866200944633156
"Thyroid","ENSG00000184012.11","AGE",19.5,0.359124810725622,0.719637815720476,0.866200944633156
"Stomach","ENSG00000184012.11","SEX",114.5,0.355050638903245,0.72279465827784,0.866200944633156
"Thyroid","ENSG00000184012.11","SEX",19.5,-0.349973184130437,0.726491114853615,0.866200944633156
"Kidney - Cortex","ENSG00000130234.10","SEX",7.647,0.329737265317353,0.742786437235614,0.885629982857847
"Small Intestine - Terminal Ileum","ENSG00000130234.10","SEX",29.775,0.236984261280513,0.812972150708729,0.915733249810852
"Pancreas","ENSG00000130234.10","AGE",1.469,-0.218601935311786,0.827113903054963,0.915733249810852
"Testis","ENSG00000184012.11","AGE",1.938,0.193632701531322,0.846591125735459,0.972012033251823
"Kidney - Cortex","ENSG00000130234.10","AGE",7.647,-0.133122246789307,0.894557504144025,0.92327378657025
"Testis","ENSG00000130234.10","AGE",46.68,-0.102143896877788,0.918708925463566,0.92327378657025
"Adipose - Subcutaneous","ENSG00000130234.10","AGE",2.378,-0.0963546084908698,0.92327378657025,0.92327378657025
"Kidney - Cortex","ENSG00000184012.11","AGE",30.61,-0.0819868223728612,0.934939475396076,0.995669240052041
"Lung","ENSG00000184012.11","AGE",44.2,-0.064519866478933,0.948582179067193,0.995669240052041
"Pancreas","ENSG00000184012.11","AGE",48.52,-0.0327020238873891,0.973934705678414,0.995669240052041
"Lung","ENSG00000184012.11","SEX",44.2,0.0054305548963468,0.995669240052041,0.995669240052041
