"Tissue","Gene","Variable","median_TPM","coefficient","p.value","FDR"
"Breast - Mammary Tissue","TMPRSS2","SEX",6.75746440533246,24.5335794114978,2.70823629177534e-79,8.39553250450355e-78
"Colon - Transverse","TMPRSS2","AGE",68.2282659034587,-8.58452403408619,3.05713040323947e-16,4.73855212502118e-15
"Breast - Mammary Tissue","ACE2","SEX",2.36349907090815,-7.29264922278656,1.89523703804685e-12,5.87523481794523e-11
"Prostate","TMPRSS2","AGE",182.900000000001,-6.12056763219238,4.94874857478368e-09,5.1137068606098e-08
"Minor Salivary Gland","ACE2","AGE",2.00436482471753,-5.73289951473007,6.47738941134933e-08,1.00399535875915e-06
"Colon - Transverse","ACE2","AGE",3.62944035494573,-5.40334908037095,1.21366621014439e-07,1.25412175048254e-06
"Breast - Mammary Tissue","TMPRSS2","AGE",6.75746440533246,-5.08972193268478,5.72509799429053e-07,4.43695094557516e-06
"Pituitary","TMPRSS2","SEX",1.707,-4.92671731127752,1.6826350939349e-06,1.04323375823964e-05
"Adipose - Subcutaneous","ACE2","SEX",2.325,4.79716998484167,2.0888027245922e-06,1.61882211155896e-05
"Minor Salivary Gland","TMPRSS2","AGE",41.7843546170798,-3.9923784161121,0.000108382229841199,0.000559974854179528
"Skin - Not Sun Exposed (Suprapubic)","TMPRSS2","AGE",4.718,3.26557593547698,0.0011697086151352,0.0051801381527416
"Liver","TMPRSS2","SEX",12.6049990812202,3.20762913970563,0.00157595664689663,0.00610683200672444
"Vagina","TMPRSS2","AGE",4.43,-3.07331952768909,0.00259528717304715,0.00893932248494018
"Testis","ACE2","AGE",46.6799905620801,-3.00049379062937,0.0029216193607306,0.0181140400365297
"Skin - Not Sun Exposed (Suprapubic)","TMPRSS2","SEX",4.718,-2.9245246372,0.00361100676525918,0.0111941209723035
"Ovary","ACE2","AGE",1.461,2.87392003573629,0.0046642527397549,0.0240986391554003
"Lung","TMPRSS2","AGE",44.1999999999998,-2.64965228656942,0.00832609693574636,0.0234644550007397
"Lung","ACE2","AGE",1.012,2.64760960260116,0.00837581655127092,0.0370929018699141
"Heart - Left Ventricle","ACE2","SEX",7.93632765737694,2.56267576314894,0.0107829077422746,0.0375623511759816
"Colon - Transverse","ACE2","SEX",3.62944035494573,2.55939355518746,0.0109051987285108,0.0375623511759816
"Esophagus - Mucosa","TMPRSS2","AGE",28.1799999999998,-2.47446040170187,0.0137018077826996,0.035396336771974
"Artery - Coronary","ACE2","AGE",1.598,2.35065018479701,0.0197713587620869,0.0612912121624694
"Skin - Sun Exposed (Lower leg)","TMPRSS2","SEX",6.90199999999999,-2.13925198266562,0.0328439354483925,0.0783201537615514
