"Tissue","Gene","Variable","median_TPM","coefficient","p.value","FDR"
"Esophagus - Mucosa","ACE2","AGE",2.454,-2.1108630819705,0.0353207682745506,0.0995403469555517
"Pancreas","TMPRSS2","AGE",48.5199999999998,2.01438557948668,0.0449216923763833,0.0930465345125371
"Skin - Sun Exposed (Lower leg)","TMPRSS2","AGE",6.90199999999999,2.00891999994643,0.0450225166996147,0.0930465345125371
"Small Intestine - Terminal Ileum","TMPRSS2","SEX",42.6020756386666,1.90442236041187,0.0586275819837374,0.112121621271389
"Pancreas","TMPRSS2","SEX",48.5199999999998,-1.87244733292222,0.0621794640078152,0.112121621271389
"Lung","TMPRSS2","SEX",44.1999999999998,-1.84882573357763,0.065102876867258,0.112121621271389
"Thyroid","TMPRSS2","AGE",19.4999975609754,1.6973461332774,0.0902216448580729,0.147203736347382
"Minor Salivary Gland","ACE2","SEX",2.00436482471753,1.67870856359017,0.0956110393299378,0.246995184935673
"Liver","TMPRSS2","AGE",12.6049990812202,1.6691711472131,0.0967567332765274,0.149972936578617
"Thyroid","TMPRSS2","SEX",19.4999975609754,1.54006727348403,0.124145295885055,0.183262103449367
"Pancreas","ACE2","AGE",1.469,-1.40644904907168,0.160695738339362,0.383197529886171
"Thyroid","ACE2","SEX",6.35349998300129,-1.26937113983946,0.204870070054184,0.425847388445692
"Heart - Atrial Appendage","ACE2","AGE",5.6344995289773,1.20704475960619,0.228244238932154,0.425847388445692
"Pancreas","ACE2","SEX",1.469,-1.14019729114437,0.255171578946179,0.425847388445692
"Esophagus - Mucosa","ACE2","SEX",2.454,-1.12844243809355,0.259716227418122,0.425847388445692
"Small Intestine - Terminal Ileum","ACE2","AGE",29.7745024330209,1.1167060915636,0.265773540539377,0.425847388445692
"Heart - Left Ventricle","ACE2","AGE",7.93632765737694,-1.09916898110165,0.272412932730649,0.425847388445692
"Thyroid","ACE2","AGE",6.35349998300129,1.09334867898134,0.274740250610124,0.425847388445692
"Kidney - Cortex","TMPRSS2","SEX",30.61,1.06863141212359,0.28924994032174,0.407579461362452
"Artery - Coronary","ACE2","SEX",1.598,1.05106720518865,0.294562702749752,0.43483065644011
"Heart - Atrial Appendage","ACE2","SEX",5.6344995289773,1.00930792896671,0.313536378999573,0.44180126131758
"Esophagus - Mucosa","TMPRSS2","SEX",28.1799999999998,-1.0074179920313,0.314259006761806,0.423566487374608
"Lung","ACE2","SEX",1.012,-0.965571781502366,0.334748802824958,0.451183169024943
"Adipose - Visceral (Omentum)","ACE2","SEX",8.497,-0.854205527177204,0.393461284624218,0.508220825972948
"Colon - Transverse","TMPRSS2","SEX",68.2282659034587,0.839068912149381,0.402003353417334,0.51925433149739
"Kidney - Cortex","ACE2","SEX",7.64700000000001,0.650961156105775,0.517402008014682,0.641578489938206
"Small Intestine - Terminal Ileum","TMPRSS2","AGE",42.6020756386666,0.610932545757288,0.542100470774138,0.666573901247937
"Stomach","TMPRSS2","AGE",114.699827139024,-0.584874087002484,0.559061981691818,0.666573901247937
"Adipose - Visceral (Omentum)","ACE2","AGE",8.497,0.525189947091175,0.59971996292329,0.694944711400341
"Adipose - Subcutaneous","ACE2","AGE",2.325,0.513530734108618,0.607792124275759,0.694944711400341
"Pituitary","TMPRSS2","AGE",1.707,-0.506450266322397,0.613066883530036,0.696948418868175
"Vagina","ACE2","AGE",1.85,0.486168753222745,0.627691997393856,0.694944711400341
"Testis","TMPRSS2","AGE",1.938,0.482924171834544,0.629501797687384,0.696948418868175
"Breast - Mammary Tissue","ACE2","AGE",2.36349907090815,0.369555352412551,0.71192581000104,0.713076520145132
"Kidney - Cortex","ACE2","AGE",7.64700000000001,0.370637468101071,0.712131507254835,0.713076520145132
"Small Intestine - Terminal Ileum","ACE2","SEX",29.7745024330209,-0.36837236469294,0.713076520145132,0.713076520145132
"Minor Salivary Gland","TMPRSS2","SEX",41.7843546170798,0.207935233936596,0.835604942575171,0.893232869649321
"Stomach","TMPRSS2","SEX",114.699827139024,-0.118469399195964,0.905773217415311,0.935965657995822
"Kidney - Cortex","TMPRSS2","AGE",30.61,-0.0469482982053361,0.962700628495912,0.962700628495912
