ID	GTEX-11DZ1	GTEX-11EMC	GTEX-11GS4	GTEX-11GSO	GTEX-11GSP	GTEX-11PRG	GTEX-11TUW	GTEX-11UD1	GTEX-11WQC	GTEX-11ZTS	GTEX-12WSA	GTEX-12WSD	GTEX-12WSF	GTEX-12WSH	GTEX-12ZZX	GTEX-1313W	GTEX-131XH	GTEX-132Q8	GTEX-1399T	GTEX-139TS	GTEX-13CF2	GTEX-13FXS	GTEX-13G51	GTEX-13N2G	GTEX-13NYB	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVJ	GTEX-13OW6	GTEX-13OW8	GTEX-13PDP	GTEX-13QJC	GTEX-13RTJ	GTEX-13SLW	GTEX-13SLX	GTEX-13X6I	GTEX-13X6K	GTEX-1445S	GTEX-147GR	GTEX-14ASI	GTEX-14BIM	GTEX-14BIN	GTEX-14C5O	GTEX-14JG1	GTEX-14PJO	GTEX-14PN4	GTEX-15CHQ	GTEX-15DCD	GTEX-15DYW	GTEX-15EO6	GTEX-15ER7	GTEX-15RJE	GTEX-17EVP	GTEX-18464	GTEX-1A3MX	GTEX-1A8G7	GTEX-1B8L1	GTEX-1B8SG	GTEX-1B933	GTEX-1B996	GTEX-1C6VR	GTEX-1CB4G	GTEX-1E1VI	GTEX-1EKGG	GTEX-1EMGI	GTEX-1EU9M	GTEX-1F48J	GTEX-1F6I4	GTEX-1F6IF	GTEX-1F75B	GTEX-1GMR8	GTEX-1GN1U	GTEX-1GN2E	GTEX-1GN73	GTEX-1GTWX	GTEX-1GZ2Q	GTEX-1JMQK	GTEX-1LB8K	GTEX-1LH75	GTEX-1LSNL	GTEX-1LVA9	GTEX-1LVAO	GTEX-1MA7X	GTEX-1RLM8	GTEX-N7MS	GTEX-N7MT	GTEX-NL4W	GTEX-NPJ7	GTEX-NPJ8	GTEX-OHPN	GTEX-OXRO	GTEX-P44G	GTEX-PWO3	GTEX-Q2AG	GTEX-QDT8	GTEX-QMR6	GTEX-R55E	GTEX-RU72	GTEX-S7SE	GTEX-T2IS	GTEX-T5JC	GTEX-T6MN	GTEX-UTHO	GTEX-WHSE	GTEX-X4XX	GTEX-X585	GTEX-XLM4	GTEX-XMD1	GTEX-YFC4	GTEX-YJ89	GTEX-Z93S	GTEX-ZAB4	GTEX-ZDXO	GTEX-ZV68
PC1	 0.0148	 0.0141	 0.0091	 0.0142	 0.0147	-0.1106	 0.0139	-0.1059	-0.0958	 0.0154	 0.0150	-0.1049	 0.0153	 0.0140	 0.0046	 0.0160	-0.1155	 0.0141	 0.0157	 0.0143	 0.0137	-0.0986	 0.0136	 0.0146	-0.0945	 0.0143	 0.0152	 0.0132	 0.0157	 0.0140	 0.0082	 0.0145	 0.0144	 0.0140	-0.0874	 0.0151	 0.0143	 0.0143	 0.0142	-0.0973	 0.0150	 0.0110	 0.0135	 0.0151	 0.0151	 0.0146	 0.0139	 0.0145	 0.0147	 0.0148	 0.0146	 0.0145	 0.0161	 0.0150	 0.0139	 0.0134	 0.0155	 0.0148	 0.0146	 0.0154	 0.0075	 0.0143	 0.0148	 0.0157	-0.0949	 0.0148	 0.0123	-0.0876	 0.0156	 0.0138	 0.0157	 0.0146	 0.0142	 0.0123	 0.0135	 0.0138	 0.0148	 0.0075	 0.0139	 0.0155	 0.0145	 0.0136	 0.0148	 0.0154	 0.0146	 0.0158	 0.0151	 0.0141	 0.0164	 0.0109	 0.0111	 0.0078	 0.0148	 0.0151	 0.0133	 0.0130	 0.0125	-0.0232	 0.0142	 0.0140	 0.0140	 0.0144	 0.0156	 0.0121	 0.0089	-0.1073	 0.0149	 0.0135	 0.0147	 0.0072	 0.0146	 0.0138	 0.0145	 0.0144
PC2	-0.0022	-0.0025	-0.0024	-0.0078	-0.0048	-0.0155	-0.0082	-0.0175	-0.0151	-0.0085	-0.0004	-0.0190	-0.0062	-0.0021	 0.0575	-0.0091	-0.0190	-0.0031	-0.0042	-0.0061	 0.0018	-0.0140	-0.0007	-0.0069	-0.0152	-0.0033	-0.0029	-0.0032	-0.0068	-0.0048	-0.0005	-0.0063	-0.0009	-0.0055	-0.0123	-0.0047	-0.0077	-0.0048	-0.0039	-0.0123	-0.0049	-0.0057	-0.0045	-0.0045	-0.0019	-0.0049	-0.0007	-0.0073	-0.0053	-0.0042	-0.0031	-0.0084	-0.0084	-0.0081	-0.0084	-0.0081	-0.0052	-0.0035	-0.0085	-0.0031	 0.0028	-0.0001	-0.0053	-0.0057	-0.0159	-0.0040	-0.0014	-0.0120	-0.0097	-0.0087	-0.0099	-0.0012	-0.0078	-0.0030	-0.0057	-0.0016	-0.0013	 0.0044	-0.0040	-0.0049	-0.0062	-0.0021	-0.0021	-0.0062	-0.0039	-0.0047	-0.0073	 0.0115	-0.0062	-0.0059	-0.0025	 0.0044	-0.0022	-0.0043	-0.0035	 0.0011	-0.0054	 0.2929	-0.0064	-0.0043	-0.0038	-0.0075	-0.0097	-0.0053	 0.0021	-0.0201	-0.0060	-0.0036	-0.0084	-0.0013	-0.0076	-0.0021	-0.0068	-0.0008
PC3	 0.0229	-0.0036	-0.1295	-0.0021	-0.0006	-0.0038	-0.0105	-0.0006	-0.0001	 0.0164	 0.0354	 0.0003	 0.0207	-0.0058	 0.0358	 0.0392	 0.0016	 0.0019	 0.0144	 0.0148	 0.0017	 0.0031	-0.0055	 0.0144	 0.0069	-0.0231	 0.0217	 0.0060	 0.0102	 0.0004	-0.1299	-0.0245	 0.0167	-0.0147	 0.0051	 0.0267	 0.0063	 0.0219	-0.0217	 0.0098	 0.0250	-0.0585	-0.0129	 0.0224	 0.0296	-0.0015	 0.0039	 0.0154	 0.0256	 0.0020	-0.0079	 0.0146	 0.0136	 0.0133	 0.0188	-0.0190	 0.0145	 0.0108	-0.0197	 0.0207	-0.1649	 0.0233	 0.0282	 0.0055	 0.0040	 0.0212	-0.0480	 0.0063	 0.0239	 0.0009	 0.0188	 0.0252	 0.0020	-0.0684	 0.0125	 0.0092	 0.0233	-0.1665	 0.0080	 0.0124	 0.0136	 0.0190	 0.0020	 0.0145	 0.0363	 0.0228	 0.0322	 0.0515	 0.0083	-0.0617	-0.0751	-0.1499	 0.0114	 0.0268	-0.0278	 0.0138	-0.0286	 0.0178	 0.0228	 0.0111	 0.0323	 0.0227	 0.0184	-0.0489	-0.1375	 0.0051	 0.0130	-0.0071	 0.0078	-0.1406	 0.0263	 0.0007	 0.0083	 0.0139
PC4	 0.0018	 0.0053	 0.0143	-0.0007	 0.0135	-0.0045	 0.0023	 0.0074	 0.0068	-0.0036	 0.0279	 0.0065	 0.0012	 0.0013	-0.1361	-0.0025	 0.0181	 0.0278	-0.0209	-0.0076	-0.0108	 0.0003	-0.0160	-0.0107	-0.0019	 0.0020	 0.0161	 0.0001	-0.0143	 0.0067	-0.0005	-0.0109	 0.0119	 0.0037	 0.0189	-0.0030	-0.0032	-0.0004	 0.0023	 0.0038	-0.0030	 0.0047	 0.0039	-0.0025	 0.0357	 0.0057	 0.0110	 0.0056	 0.0193	 0.0025	 0.0103	-0.0056	-0.0008	-0.0013	-0.0009	 0.0055	-0.0052	 0.0117	 0.0025	 0.0006	 0.0141	 0.0274	 0.0062	-0.0023	 0.0162	 0.0010	-0.0014	 0.0088	-0.0182	 0.0019	 0.0110	 0.0204	 0.0111	-0.0060	 0.0057	-0.0021	 0.0265	-0.0039	-0.0069	-0.0072	 0.0041	-0.0192	 0.0053	 0.0073	 0.0001	 0.0052	-0.0044	 0.0073	-0.0039	 0.0047	 0.0077	 0.0024	-0.0097	 0.0035	 0.0232	-0.0219	 0.0103	 0.0771	 0.0109	 0.0009	 0.0169	-0.0134	 0.0157	 0.0175	 0.0053	 0.0083	 0.0166	 0.0046	 0.0103	 0.0074	-0.0031	 0.0085	 0.0062	-0.0102
PC5	 0.0425	 0.0064	-0.0224	 0.0151	 0.0029	-0.0102	 0.0002	-0.0054	 0.0045	 0.0378	-0.1152	-0.0034	 0.0348	 0.0184	 0.0018	 0.0089	 0.0057	-0.1250	 0.0068	 0.0393	 0.0101	-0.0144	 0.0239	 0.0190	 0.0038	-0.0124	 0.0040	 0.0263	 0.0109	 0.0080	 0.0087	 0.0184	-0.0255	 0.0027	 0.0058	 0.0327	 0.0217	-0.0031	-0.0117	-0.0184	 0.0132	 0.0094	 0.0173	 0.0149	-0.1706	-0.0035	-0.0752	 0.0377	-0.0834	-0.0214	 0.0279	 0.0130	 0.0478	 0.0459	 0.0307	 0.0143	 0.0233	-0.0406	 0.0017	-0.0013	-0.0279	-0.0712	 0.0332	 0.0197	 0.0109	 0.0467	-0.0040	-0.0041	 0.0075	 0.0003	 0.0320	-0.1341	 0.0159	 0.0098	 0.0309	 0.0175	-0.1343	-0.0384	 0.0098	 0.0421	 0.0299	 0.0113	-0.0234	 0.0157	 0.0194	 0.0059	 0.0205	-0.0375	 0.0033	-0.0043	 0.0096	-0.0107	-0.0417	 0.0484	-0.0360	 0.0017	 0.0023	 0.0313	 0.0174	-0.0173	-0.0210	-0.0012	 0.0249	 0.0238	-0.0057	-0.0047	 0.0504	 0.0280	 0.0417	-0.0025	-0.0171	-0.0388	 0.0257	 0.0142
InferredCov1	-0.0701830983161926	0.0448629111051559	0.0113294245675206	-0.0131505373865366	-0.0765374377369881	0.0104477712884545	0.0501008108258247	0.0833858177065849	0.0211254581809044	0.0603238716721535	0.0717564225196838	0.00233665364794433	-0.0249146725982428	0.0603390783071518	-0.0721220374107361	-0.130788251757622	0.017603438347578	0.0706246122717857	-0.0895444825291634	0.0934930741786957	0.0346207730472088	-0.0376955159008503	-0.0473396480083466	-0.0308727696537971	0.0852920413017273	-0.0315803736448288	-0.113065272569656	0.0297676678746939	-0.0872248783707619	-0.0380211658775806	0.062164168804884	0.0279368851333857	-0.0362726151943207	0.0383926592767239	-0.0598335452377796	0.0237028878182173	0.0377705283463001	-0.0211341381072998	-0.0274340007454157	0.0108969965949655	-0.0643139854073524	-0.0405264496803284	-0.0429848991334438	-0.0195228587836027	0.0257500782608986	-0.0249192137271166	-0.0684086531400681	-0.00192095001693815	-0.0649289712309837	0.0393362455070019	-0.149888977408409	0.00493056047707796	-0.021763926371932	0.0337078683078289	-0.0345163680613041	0.025323610752821	-0.123881250619888	0.0423840135335922	-0.0948911979794502	0.0151733374223113	0.0495502650737762	-0.0492364577949047	-0.0450370535254478	-0.0578846000134945	-0.106059290468693	0.0167217012494802	0.0616005249321461	-0.0344625450670719	0.0142812915146351	0.0745695382356644	-0.00400025025010109	0.085211418569088	0.039090845733881	-0.0760924369096756	0.0445590354502201	0.0484942905604839	0.0942531228065491	0.0996330603957176	-0.0839155316352844	-0.00352506851777434	0.0733510479331017	0.0170259419828653	-0.0364342443645	0.0556298643350601	-0.0712132304906845	0.0804516971111298	0.0394914932549	0.044609073549509	0.0412996001541615	0.0885707512497902	0.0586420744657516	-0.0141538716852665	0.0403443463146687	-0.00827121175825596	-0.0334839522838593	0.00251059769652784	0.019769448786974	-0.046644039452076	-0.0198893938213587	0.00630738353356719	-0.00791391544044018	-0.0290373805910349	0.076194129884243	-0.0634201690554619	0.0801524966955185	-0.0483163930475712	-0.0217111688107252	0.0570768490433693	0.0252667479217052	0.0669616311788559	-0.156438589096069	0.0332579165697098	0.052601370960474	0.0511864870786667
InferredCov2	0.0880671218037605	-0.025117726996541	-0.0453913882374763	-0.00522009748965502	-0.0595234110951424	-0.0461621284484863	-0.0686574503779411	0.0306433420628309	-0.0168054141104221	0.0836881846189499	-0.0275734569877386	-0.0267638955265284	-0.0510955043137074	-0.0725498870015144	-0.121969372034073	0.00480968272313476	0.0594863444566727	0.0300946310162544	-0.0373063310980797	0.102422259747982	-0.0926472470164299	-0.00537559110671282	-0.0175234507769346	-0.00215270882472396	0.103290654718876	-0.0213453434407711	-0.0355561301112175	-0.135453373193741	0.0337241366505623	-0.051668293774128	-0.0387976504862309	-0.00210968335159123	0.00258773728273809	-0.139274880290031	0.0199871510267258	0.0391298495233059	-0.077731616795063	0.0138917649164796	0.0204181037843227	-0.00698143243789673	-0.127163082361221	-0.0327298007905483	0.0152521105483174	0.0446595512330532	-0.0284186359494925	-0.00744038168340921	0.0545245930552483	0.000930516631342471	-0.0076951109804213	-0.0890748277306557	0.0415145941078663	0.003165498143062	0.0215840749442577	0.0217397660017014	0.00454384088516235	-0.0402397625148296	0.00345340953208506	-0.0277489051222801	0.0110139492899179	-0.00843671057373285	-0.0869147554039955	-0.00492191174998879	-0.0404061861336231	-0.0741061717271805	-0.0228994470089674	-0.0627527683973312	0.0255886279046535	-0.00547274248674512	0.0117712924256921	-0.0647849813103676	-0.0649104490876198	0.0550561994314194	-0.0828441828489304	0.0579199679195881	0.0298459678888321	-0.14202906191349	0.000981338322162628	0.0926874130964279	0.0437448732554913	-0.0402480736374855	-0.033122468739748	-0.146395429968834	-0.0479382537305355	-0.127374768257141	0.0986141115427017	0.125035315752029	-0.0151243265718222	0.104681789875031	-0.0238086059689522	0.0737036988139153	-0.00588956475257874	0.0629919096827507	-0.012072847224772	0.151236742734909	0.0921731814742088	0.0425667688250542	-0.0255914684385061	0.0537514723837376	0.0641501098871231	0.075539730489254	0.0678131282329559	0.00439092703163624	0.148873552680016	0.0491324886679649	0.177449762821198	0.0472225956618786	0.02669214643538	-0.0117958886548877	0.0619510859251022	-0.0485218018293381	0.0678989365696907	0.123985454440117	-0.0186331328004599	-0.0796319842338562
InferredCov3	0.0161687452346087	0.0511245168745518	0.138088896870613	-0.00833474099636078	-0.0125598441809416	0.0611973702907562	-0.0675482675433159	-0.0191655326634645	-0.0061982125043869	-0.0148704592138529	-0.0246565286070108	0.119209006428719	-0.0234324093908072	0.0684132948517799	0.0369260534644127	0.0443858541548252	0.0620000138878822	-0.0786430239677429	0.00724946428090334	0.072394534945488	0.0625654608011246	0.000732039741706103	0.0140799665823579	-0.00380881014280021	0.0645218044519424	0.0179600715637207	0.0628841817378998	-0.107432223856449	-0.00916505977511406	0.0103071862831712	-0.0416560471057892	-0.093350887298584	-0.0845267847180367	-0.0984264761209488	-0.00355690461583436	-0.0559309907257557	-0.124550491571426	-0.0114917866885662	0.0744160041213036	-0.0153591567650437	0.0162865053862333	0.0197508949786425	-0.0745335295796394	0.0174106582999229	-0.0284761339426041	-0.116905950009823	-0.0558898150920868	-0.0428546518087387	0.0102314362302423	-0.163348689675331	0.00830479804426432	-0.0786444917321205	0.0782717913389206	0.0615810789167881	-0.0995700135827065	0.127815574407578	-0.0136987697333097	0.00609716400504112	0.0126504926010966	-0.108168959617615	0.0313810668885708	0.0324546508491039	0.108158387243748	-0.00970848836004734	0.0626062378287315	0.0583837553858757	-0.031735397875309	-0.0299673154950142	0.0286248158663511	0.121379971504211	-0.0502618812024593	0.0123095670714974	0.0360409878194332	-0.0323944501578808	0.0391453020274639	-0.0682229623198509	-0.0222992841154337	0.181274399161339	-0.04033188149333	0.0161442831158638	0.215256184339523	-0.0269567891955376	0.155622273683548	0.0305903144180775	0.0245036110281944	-0.00927413441240788	-0.0764977261424065	-0.0117259277030826	-0.163057923316956	-0.0656739771366119	0.0273612141609192	0.0261569656431675	-0.0581591501832008	0.0239727422595024	-0.113537356257439	-0.0933871269226074	-0.0465250313282013	0.0183824114501476	0.0217542853206396	-0.0135963000357151	-0.0362181663513184	-0.000900466577149928	-0.0431560128927231	-0.0571116581559181	0.0162126626819372	-0.0522767566144466	-0.0242449883371592	-0.0736517980694771	-0.00886129774153233	0.0537505969405174	0.0660815015435219	0.00338561297394335	0.0795646533370018	0.105188332498074
InferredCov4	0.127334415912628	0.0524307526648045	-0.0118730617687106	-0.0351330824196339	-0.0575305446982384	-0.00453838100656867	0.0765245482325554	-0.112574249505997	-0.0276485923677683	-0.0735361129045486	0.0246899798512459	-0.00222792290151119	0.1386678814888	0.06962651014328	-0.00677078729495406	0.0192722976207733	-0.0257297996431589	-0.00782451964914799	0.0449333190917969	0.0129862064495683	-0.0760287716984749	-0.0099124601110816	0.00308861606754363	0.00733986077830195	0.024408670142293	-0.0411525368690491	0.0235812533646822	0.0269046388566494	-0.00923793856054544	-0.0113685699179769	0.154099196195602	-0.0355891846120358	-0.0551150515675545	-0.110266417264938	0.0154792433604598	0.063806489109993	-0.0482794381678104	-0.00332084437832236	0.0124586289748549	-0.041194848716259	0.10945887118578	-0.0515803322196007	0.057282492518425	-0.0826473534107208	-0.0874315872788429	0.0477708615362644	-0.0264956373721361	-0.0210555158555508	-0.000221419177250937	-0.13086074590683	-0.0243977587670088	0.00412502838298678	-0.0174398403614759	-0.0344376526772976	3.33358075295109e-05	0.0552428364753723	-0.06027502566576	0.00270805205218494	-0.0387894921004772	-0.0915727913379669	-0.0691975504159927	0.00993416830897331	0.0130939511582255	-0.0706404596567154	0.0453073717653751	0.0100495843216777	0.0514799952507019	-0.12285240739584	0.00201955391094089	0.134486615657806	-0.00110951147507876	0.0351154394447803	-0.0415176078677177	0.0234468560665846	-0.135644778609276	-0.0279322620481253	0.0154861304908991	-0.0898632481694221	0.0346364006400108	-0.0112836947664618	-0.00746151944622397	0.0592616312205791	-0.0192227642983198	-0.155681326985359	0.0202750060707331	0.0129610318690538	0.166093677282333	0.00224382057785988	0.130452498793602	0.0178458150476217	0.17845219373703	0.000938332115765661	0.104252174496651	-0.0225733313709497	-0.146446377038956	-0.18248476088047	0.0328775458037853	0.0369699895381927	-0.0995040610432625	0.010977178812027	0.101158529520035	-0.00953467842191458	-0.00406562490388751	0.0847866982221603	0.0489557944238186	0.117284491658211	0.0351500660181046	0.0911739096045494	0.0375253558158875	-0.00872277840971947	0.0136279920116067	-0.114155799150467	-0.0278715789318085	-0.0136429686099291
InferredCov5	0.0288883838802576	-0.00890622660517693	0.0447370298206806	0.0658529028296471	-0.00321462308056653	0.0268588345497847	-0.15176759660244	-0.000777589099016041	0.0541480705142021	-0.0147577403113246	0.0581375248730183	0.13336643576622	0.0206629801541567	-0.128050804138184	-0.0935843661427498	-0.10104351490736	0.0584539175033569	-0.0597029961645603	0.0055384892039001	0.0779628530144691	0.018217820674181	0.108362391591072	-0.000524226983543485	0.11208114027977	-0.0702854171395302	0.0851885825395584	-0.0134739307686687	-0.0434629507362843	0.0433337725698948	0.113986536860466	0.0761411637067795	0.0814384669065475	-0.00392623618245125	0.0898720398545265	0.00254292972385883	0.000681761826854199	0.0798812583088875	0.00622306345030665	0.140453591942787	0.12088967114687	-0.0730021446943283	0.116947986185551	-0.0217705313116312	0.00599648663774133	0.0638212561607361	-0.0192487649619579	0.00154986721463501	0.0645929574966431	0.125497877597809	-0.0546111278235912	-0.0944770276546478	0.0565928928554058	0.115536622703075	0.113887809216976	0.0114365806803107	-0.0671316608786583	-0.0904576703906059	-0.063599981367588	-0.0453171469271183	-0.0357072837650776	-0.0362615771591663	-0.0490982830524445	0.0105577493086457	-0.00358925852924585	-0.0934293121099472	-0.035576619207859	-0.0820346772670746	0.0188521686941385	0.060398168861866	-0.0269817635416985	0.110162675380707	-0.0704993084073067	0.00238009518943727	-0.0141674056649208	-0.0373141281306744	-0.0560397729277611	-0.134366855025291	0.011591637507081	-0.0486629158258438	-0.0294212494045496	-0.189284607768059	-0.148710012435913	0.00229183421470225	0.0504711084067822	-0.00989809725433588	-0.0410932041704655	0.00447268085554242	-0.0614363513886929	0.0800145342946053	-0.00408678920939565	0.0909469649195671	0.0251606628298759	0.0195902939885855	-0.0486432760953903	-0.123634815216064	-0.114991024136543	-0.070219375193119	0.106380939483643	-0.0196643900126219	-0.00576376263052225	-0.0276161935180426	0.0198848396539688	-0.0244900360703468	-0.0220162514597178	0.0514780879020691	-0.0076174633577466	0.010728751309216	0.0563497841358185	-0.043384600430727	-0.0424611307680607	-0.0496166385710239	-0.0483300350606441	0.0335372276604176	-0.0105222016572952
