ID	GTEX-11NUK	GTEX-11ONC	GTEX-11PRG	GTEX-11TTK	GTEX-11ZU8	GTEX-11ZVC	GTEX-12WSA	GTEX-12WSD	GTEX-12WSF	GTEX-12WSH	GTEX-12ZZW	GTEX-12ZZZ	GTEX-13112	GTEX-1313W	GTEX-131XH	GTEX-131YS	GTEX-1399T	GTEX-13CZV	GTEX-13FLV	GTEX-13JVG	GTEX-13N1W	GTEX-13N2G	GTEX-13NYB	GTEX-13O3O	GTEX-13O3Q	GTEX-13OVH	GTEX-13OVJ	GTEX-13OVL	GTEX-13OW5	GTEX-13OW6	GTEX-13OW7	GTEX-13OW8	GTEX-13PVQ	GTEX-13QIC	GTEX-13RTJ	GTEX-13SLW	GTEX-13SLX	GTEX-13VXU	GTEX-13X6I	GTEX-13X6J	GTEX-13X6K	GTEX-1445S	GTEX-144GL	GTEX-145MI	GTEX-147GR	GTEX-14ABY	GTEX-14ASI	GTEX-14BIM	GTEX-14DAQ	GTEX-14E7W	GTEX-14JFF	GTEX-14JG1	GTEX-14JIY	GTEX-14PJM	GTEX-14PN4	GTEX-14PQA	GTEX-15CHQ	GTEX-15DCD	GTEX-15DDE	GTEX-15DYW	GTEX-15EO6	GTEX-15ER7	GTEX-15SHU	GTEX-16YQH	GTEX-17EVP	GTEX-17EVQ	GTEX-17F97	GTEX-183WM	GTEX-18464	GTEX-1A3MX	GTEX-1AX9I	GTEX-1B8L1	GTEX-1B996	GTEX-1C6VR	GTEX-1C6WA	GTEX-1CB4G	GTEX-1CB4J	GTEX-1E1VI	GTEX-1EMGI	GTEX-1EX96	GTEX-1F48J	GTEX-1F6IF	GTEX-1F75A	GTEX-1F7RK	GTEX-1GF9W	GTEX-1GMR8	GTEX-1GN73	GTEX-1GTWX	GTEX-1GZ4I	GTEX-1ICLZ	GTEX-1JMQJ	GTEX-1JN6P	GTEX-1LSVX	GTEX-1LVAO	GTEX-1N2DW	GTEX-1N2EE	GTEX-N7MS	GTEX-N7MT	GTEX-NL3H	GTEX-NL4W	GTEX-NPJ7	GTEX-NPJ8	GTEX-OHPN	GTEX-P44G	GTEX-P44H	GTEX-Q2AG	GTEX-QDT8	GTEX-QMR6	GTEX-QVJO	GTEX-QVUS	GTEX-R55E	GTEX-RNOR	GTEX-S7SE	GTEX-T5JC	GTEX-T6MN	GTEX-TSE9	GTEX-UTHO	GTEX-WHSE	GTEX-WVLH	GTEX-WZTO	GTEX-X4EP	GTEX-X4XX	GTEX-X585	GTEX-XLM4	GTEX-Y8DK	GTEX-YFC4	GTEX-ZAB4	GTEX-ZAK1	GTEX-ZVZQ
PC1	 0.0139	 0.0145	-0.1106	 0.0161	 0.0146	 0.0146	 0.0150	-0.1049	 0.0153	 0.0140	 0.0147	 0.0147	 0.0144	 0.0160	-0.1155	 0.0141	 0.0157	 0.0146	 0.0148	 0.0156	 0.0139	 0.0146	-0.0945	 0.0143	 0.0152	 0.0153	 0.0132	 0.0152	 0.0140	 0.0157	 0.0150	 0.0140	 0.0032	 0.0121	 0.0144	 0.0140	-0.0874	 0.0148	 0.0151	 0.0103	 0.0143	 0.0143	 0.0151	 0.0069	 0.0142	 0.0146	-0.0973	 0.0150	 0.0145	 0.0147	 0.0071	 0.0151	 0.0147	 0.0145	 0.0146	 0.0148	 0.0139	 0.0145	-0.0980	 0.0147	 0.0148	 0.0146	 0.0077	 0.0128	 0.0161	 0.0156	 0.0165	 0.0083	 0.0150	 0.0139	 0.0140	 0.0155	 0.0154	 0.0075	 0.0145	 0.0143	 0.0145	 0.0148	-0.0949	 0.0118	 0.0123	 0.0156	 0.0137	 0.0158	 0.0155	 0.0157	 0.0123	 0.0135	 0.0155	 0.0148	 0.0143	 0.0141	 0.0149	 0.0136	 0.0144	 0.0123	 0.0146	 0.0158	-0.0617	 0.0151	 0.0141	 0.0164	 0.0109	 0.0078	 0.0150	 0.0151	 0.0133	 0.0130	 0.0140	 0.0149	 0.0125	 0.0149	 0.0142	 0.0140	 0.0144	 0.0145	 0.0156	 0.0121	 0.0155	 0.0105	 0.0128	 0.0089	-0.1073	 0.0149	 0.0148	 0.0147	 0.0138	 0.0159	 0.0158
PC2	-0.0006	-0.0098	-0.0155	-0.0009	-0.0009	-0.0035	-0.0004	-0.0190	-0.0062	-0.0021	-0.0060	-0.0084	-0.0046	-0.0091	-0.0190	-0.0062	-0.0042	-0.0068	-0.0060	-0.0054	-0.0052	-0.0069	-0.0152	-0.0033	-0.0029	-0.0043	-0.0032	-0.0073	-0.0058	-0.0068	-0.0040	-0.0048	 0.0188	 0.0019	-0.0009	-0.0055	-0.0123	-0.0062	-0.0047	-0.0013	-0.0077	-0.0048	-0.0026	 0.0018	-0.0039	-0.0056	-0.0123	-0.0049	-0.0010	-0.0053	 0.0016	-0.0045	-0.0039	-0.0009	-0.0049	-0.0058	-0.0007	-0.0073	-0.0148	-0.0053	-0.0042	-0.0031	-0.0046	-0.0016	-0.0084	-0.0051	-0.0076	 0.0101	-0.0081	-0.0084	-0.0080	-0.0052	-0.0031	 0.0028	-0.0122	-0.0001	-0.0117	-0.0053	-0.0159	-0.0047	-0.0014	-0.0097	-0.0026	-0.0058	-0.0054	-0.0099	-0.0030	-0.0057	-0.0089	-0.0080	-0.0041	-0.0062	-0.0046	-0.0021	-0.0070	-0.0047	-0.0039	-0.0047	 0.0071	-0.0073	 0.0115	-0.0062	-0.0059	 0.0044	-0.0102	-0.0043	-0.0035	 0.0011	-0.0064	-0.0026	-0.0054	 0.0014	-0.0064	-0.0038	-0.0075	 0.0012	-0.0097	-0.0053	-0.0020	 0.0004	-0.0065	 0.0021	-0.0201	-0.0060	-0.0074	-0.0084	-0.0021	-0.0030	-0.0036
PC3	 0.0060	 0.0155	-0.0038	 0.0287	 0.0417	 0.0150	 0.0354	 0.0003	 0.0207	-0.0058	-0.0298	 0.0209	 0.0166	 0.0392	 0.0016	-0.0143	 0.0144	-0.0063	-0.0073	 0.0228	-0.0075	 0.0144	 0.0069	-0.0231	 0.0217	 0.0261	 0.0060	 0.0241	 0.0108	 0.0102	 0.0255	 0.0004	-0.1583	-0.0615	 0.0167	-0.0147	 0.0051	-0.0007	 0.0267	-0.0805	 0.0063	 0.0219	 0.0191	-0.1552	-0.0217	 0.0033	 0.0098	 0.0250	 0.0397	 0.0120	-0.1281	 0.0224	 0.0111	 0.0290	-0.0015	 0.0015	 0.0039	 0.0154	-0.0017	 0.0256	 0.0020	-0.0079	 0.0038	-0.0180	 0.0136	 0.0147	 0.0170	-0.1046	 0.0133	 0.0188	-0.0047	 0.0145	 0.0207	-0.1649	 0.0246	 0.0233	 0.0035	 0.0282	 0.0040	-0.0821	-0.0480	 0.0239	 0.0210	 0.0171	 0.0138	 0.0188	-0.0684	 0.0125	-0.0078	 0.0063	-0.0209	 0.0122	 0.0371	 0.0190	-0.0063	-0.0580	 0.0363	 0.0228	 0.0077	 0.0322	 0.0515	 0.0083	-0.0617	-0.1499	 0.0156	 0.0268	-0.0278	 0.0138	 0.0100	 0.0061	-0.0286	 0.0120	 0.0228	 0.0323	 0.0227	 0.0143	 0.0184	-0.0489	 0.0129	-0.0576	 0.0173	-0.1375	 0.0051	 0.0130	 0.0060	 0.0078	 0.0007	 0.0053	 0.0258
PC4	 0.0275	 0.0054	-0.0045	 0.0091	 0.0303	 0.0292	 0.0279	 0.0065	 0.0012	 0.0013	-0.0062	 0.0064	 0.0097	-0.0025	 0.0181	 0.0085	-0.0209	 0.0044	 0.0124	-0.0094	 0.0067	-0.0107	-0.0019	 0.0020	 0.0161	 0.0185	 0.0001	 0.0048	 0.0006	-0.0143	 0.0073	 0.0067	 0.0058	 0.0200	 0.0119	 0.0037	 0.0189	 0.0154	-0.0030	-0.0125	-0.0032	-0.0004	-0.0164	 0.0102	 0.0023	-0.0001	 0.0038	-0.0030	 0.0261	 0.0134	 0.0011	-0.0025	 0.0045	 0.0245	 0.0057	 0.0055	 0.0110	 0.0056	 0.0022	 0.0193	 0.0025	 0.0103	-0.0097	-0.0215	-0.0008	-0.0068	 0.0012	 0.0266	-0.0013	-0.0009	 0.0077	-0.0052	 0.0006	 0.0141	-0.0082	 0.0274	-0.0088	 0.0062	 0.0162	 0.0024	-0.0014	-0.0182	-0.0021	 0.0032	-0.0085	 0.0110	-0.0060	 0.0057	 0.0099	-0.0051	 0.0065	 0.0150	-0.0127	-0.0192	 0.0143	 0.0180	 0.0001	 0.0052	-0.0374	-0.0044	 0.0073	-0.0039	 0.0047	 0.0024	-0.0035	 0.0035	 0.0232	-0.0219	 0.0076	 0.0155	 0.0103	 0.0342	 0.0109	 0.0169	-0.0134	 0.0268	 0.0157	 0.0175	-0.0214	 0.0135	 0.0234	 0.0053	 0.0083	 0.0166	 0.0055	 0.0103	 0.0085	 0.0026	-0.0093
PC5	-0.0200	 0.0258	-0.0102	-0.1136	-0.1445	-0.1058	-0.1152	-0.0034	 0.0348	 0.0184	 0.0057	 0.0121	 0.0054	 0.0089	 0.0057	 0.0079	 0.0068	 0.0070	 0.0141	 0.0259	-0.0485	 0.0190	 0.0038	-0.0124	 0.0040	-0.0032	 0.0263	 0.0292	 0.0185	 0.0109	 0.0340	 0.0080	-0.0199	-0.0630	-0.0255	 0.0027	 0.0058	 0.0169	 0.0327	-0.0109	 0.0217	-0.0031	 0.0143	-0.0244	-0.0117	 0.0075	-0.0184	 0.0132	-0.1341	 0.0122	 0.0028	 0.0149	 0.0062	-0.1005	-0.0035	 0.0037	-0.0752	 0.0377	 0.0036	-0.0834	-0.0214	 0.0279	-0.0061	-0.0011	 0.0478	 0.0299	 0.0207	-0.0163	 0.0459	 0.0307	 0.0116	 0.0233	-0.0013	-0.0279	 0.0301	-0.0712	-0.0092	 0.0332	 0.0109	 0.0018	-0.0040	 0.0075	 0.0184	 0.0164	 0.0208	 0.0320	 0.0098	 0.0309	 0.0030	 0.0158	-0.0233	-0.0120	 0.0009	 0.0113	 0.0196	-0.0090	 0.0194	 0.0059	 0.0039	 0.0205	-0.0375	 0.0033	-0.0043	-0.0107	 0.0222	 0.0484	-0.0360	 0.0017	 0.0189	-0.0516	 0.0023	-0.1202	 0.0174	-0.0210	-0.0012	-0.1128	 0.0249	 0.0238	 0.0093	-0.0152	 0.0010	-0.0057	-0.0047	 0.0504	 0.0096	 0.0417	-0.0388	 0.0265	 0.0103
InferredCov1	0.0585902668535709	-0.0231232494115829	0.0532417297363281	-0.0202495940029621	0.0210509095340967	-0.0586477480828762	-0.0689416006207466	0.0111349383369088	-0.0157416444271803	0.0292614381760359	-0.0156871005892754	-0.0664588585495949	-0.0035728975199163	0.0588276982307434	0.0279312618076801	0.0408874079585075	0.0315965861082077	-0.0414654240012169	-0.00627026055008173	-0.0733583718538284	0.0207432936877012	-0.0113481162115932	0.0531591922044754	0.0419672168791294	0.0702722370624542	-0.0427014492452145	-0.0640778541564941	-0.0540616475045681	-0.0305617153644562	-0.0461126603186131	-0.0299386009573936	-0.0424509309232235	-0.0734432190656662	-0.0281138997524977	-0.0348097383975983	-0.0848373770713806	0.00843561999499798	0.0566742829978466	-0.0371185168623924	0.0218215305358171	-0.000723909179214388	-0.0902309119701385	-0.0673539265990257	-0.107982486486435	0.0151819353923202	0.00159240642096847	0.0317622236907482	0.00873507559299469	-0.0480610467493534	0.0401037409901619	0.035629790276289	0.148553475737572	0.130333438515663	-0.0207531303167343	0.00214562681503594	-0.01181286200881	-0.0244739707559347	-0.0325862839818001	-0.0468727648258209	0.0358667373657227	0.0486081689596176	0.0269212704151869	0.0737129747867584	0.1318189650774	0.0700450092554092	-0.025045320391655	-0.0386629104614258	-0.113074474036694	-0.0514555647969246	0.0266802255064249	0.0549563616514206	0.0703965798020363	-0.00543786771595478	-0.0219567492604256	0.0434014536440372	0.0190405752509832	-0.100390866398811	0.0218745041638613	0.0103709725663066	-0.0326450392603874	0.034612700343132	0.0199859477579594	0.125220239162445	0.0698268115520477	-0.0242296382784843	0.0134466728195548	0.0305471494793892	0.0113234724849463	-0.0485695041716099	0.0450379215180874	0.134415373206139	-0.058853417634964	0.0196107029914856	0.0772542059421539	-0.0517727993428707	-0.010593056678772	-0.0626139789819717	-0.0657302737236023	0.0323500670492649	-0.0014976030215621	-0.0108789214864373	-0.0546719469130039	-0.0797510743141174	0.0268431734293699	0.0171678774058819	0.0663642510771751	-0.0459624044597149	-0.0610797628760338	0.013911210000515	-0.0238634254783392	0.0574230141937733	0.026961226016283	0.0443125143647194	0.033345639705658	-0.0181990005075932	0.0454766154289246	-0.0578534454107285	-0.0141466343775392	0.0504405237734318	0.0845146179199219	-0.122749902307987	-0.0730160996317863	-0.0508290641009808	0.0159348547458649	-0.0390757285058498	0.0194370970129967	0.0109577178955078	-0.0204354207962751	0.0267321970313787
InferredCov2	-0.012409433722496	-0.0101756304502487	0.00624055974185467	-0.0820988044142723	-0.196663439273834	-0.100200802087784	-0.0580546855926514	0.0155388377606869	0.0237612891942263	-0.152072682976723	-0.0942432656884193	-0.027988450601697	0.0289641823619604	0.0321765206754208	0.0620854385197163	0.0343002825975418	0.0117648299783468	-0.0100711509585381	-0.0789999589323997	-0.036428302526474	0.051557544618845	0.0508713573217392	-0.0828418433666229	0.0548193342983723	0.0428775809705257	0.0251300502568483	-0.0484609305858612	-0.0241328589618206	0.0191059522330761	-0.0136739946901798	-0.0578382387757301	-0.0414386056363583	-0.00635632127523422	-0.0434199422597885	0.0356047265231609	-0.00719079049304128	-0.046767957508564	0.0471242815256119	0.0724964365363121	0.00718708103522658	0.0617419108748436	0.00426594214513898	0.0237953662872314	-0.0585407949984074	-0.179358676075935	0.0259547624737024	0.070973239839077	0.0611729845404625	0.086281917989254	-0.118050754070282	-0.210445061326027	-0.152489095926285	-0.0472251996397972	0.0223432369530201	-0.0322408005595207	0.00600589020177722	0.0228308793157339	0.0164623912423849	-0.0216485690325499	0.0602964460849762	0.00862163491547108	0.00684133591130376	0.0589518360793591	-0.0738618150353432	0.06462062895298	0.0171772353351116	-0.00580845354124904	-0.0184398554265499	0.0632777139544487	0.0452786944806576	0.122832715511322	0.0225015934556723	0.0292294304817915	-0.0777236521244049	-0.0319655612111092	-0.0684630423784256	-0.0434038862586021	0.00287202699109912	0.0180403254926205	-0.0474027954041958	0.0521791838109493	-0.0155263673514128	-0.136167407035828	-0.0116572622209787	0.0176160801202059	-0.00410621520131826	0.0116642937064171	0.01173528842628	-0.0383661054074764	0.00715236831456423	-0.0487745814025402	-0.0700224414467812	0.00189333816524595	-0.0432929024100304	-0.0585508532822132	0.0216707251966	0.029241394251585	0.018673051148653	-0.00930861663073301	-0.0287193730473518	0.0480311401188374	-0.00546135101467371	-0.0466418601572514	0.0785208344459534	0.030755091458559	0.116295620799065	0.064520388841629	0.0092722550034523	0.0396164804697037	0.00978784915059805	0.0953518152236938	-0.0147331580519676	0.0861497893929482	-0.00335693988017738	-0.0131875434890389	0.0448238514363766	0.0782810002565384	0.0199959892779589	0.0257284063845873	0.140427067875862	0.0290181655436754	0.0750480592250824	0.0478940792381763	0.0864158049225807	-0.00974546931684017	0.0738744512200356	0.0834742709994316	-0.0396080240607262	0.0242849942296743
InferredCov3	-0.0490886978805065	0.0202110409736633	0.00238156761042774	-0.022834662348032	-0.0895430669188499	-0.0781388208270073	0.012233161367476	0.0354809015989304	0.0396984666585922	-0.0232278797775507	-0.0166056342422962	0.0531566552817822	0.0808678716421127	0.02911133505404	0.0360616333782673	-0.0263800695538521	0.0315519236028194	0.0550260096788406	0.0239146780222654	0.0732040107250214	0.109550677239895	0.00587360886856914	-0.0183753333985806	0.0338655821979046	0.0619472339749336	0.106719128787518	-0.0767552703619003	0.0611843876540661	-0.041554793715477	0.0435511060059071	0.0289959236979485	-0.000357428973075002	-0.0199133586138487	0.112902998924255	-0.0498955324292183	-0.0400224216282368	0.0218882467597723	0.010466224513948	-0.030551565811038	0.0161830317229033	-0.0302720423787832	-0.0420890338718891	0.0448221638798714	0.00398004567250609	-0.046221200376749	-0.068824864923954	0.118311770260334	0.019425405189395	0.0357070825994015	0.0453294329345226	-0.0212364587932825	0.0204292368143797	-0.0490506254136562	0.0252527855336666	-0.066776305437088	0.0277754794806242	-0.0274528525769711	-0.0417392328381538	-0.014585305005312	-0.0668692514300346	-0.0351910591125488	-0.0483202897012234	0.0434428341686726	-0.0582295134663582	0.0600003935396671	0.0905398055911064	0.00896778423339128	0.144848108291626	0.103765465319157	0.00700424751266837	0.00855600740760565	0.101128436625004	0.0256367847323418	0.0534766167402267	0.088637962937355	0.0626061856746674	-0.0520808920264244	0.0911091715097427	-0.0553767681121826	0.0624784976243973	0.0437768064439297	0.0609210580587387	0.0259390138089657	0.0321138724684715	0.113814242184162	-0.0186826940625906	-0.0204409044235945	0.0203748382627964	0.077842652797699	0.0399229414761066	0.0992911383509636	0.0588937997817993	0.0141563173383474	-0.025171522051096	-0.0626208037137985	0.0537156984210014	-0.0527759194374084	-0.0816986262798309	-0.04427345469594	-0.0791793614625931	-0.0075056878849864	-0.00660172943025827	-0.0549988225102425	-0.0380691923201084	-0.151017144322395	-0.0787829160690308	-0.140504881739616	-0.11893480271101	-0.107853747904301	-0.0879287198185921	-0.0863576456904411	-0.0376400053501129	-0.0847639888525009	-0.0122817242518067	-0.144770279526711	-0.0510921366512775	-0.0631552264094353	-0.0125833209604025	-0.0627865865826607	0.000871878757607192	-0.0141959935426712	0.043341763317585	0.00639225589111447	-0.00887265987694263	0.0686689093708992	-0.023968830704689	0.0130566004663706	-0.0188863277435303	-0.0698678940534592
InferredCov4	0.0131621202453971	0.00455087190493941	-0.0318821482360363	0.0645599886775017	-0.00634402735158801	0.0378375723958015	-0.0199831090867519	0.0464499071240425	-0.0371213518083096	-0.114375054836273	0.0691466331481934	-0.0718370601534843	-0.0179821439087391	0.0260663200169802	-0.0587971694767475	0.0439036265015602	0.0111326919868588	0.0695523843169212	0.108949713408947	0.0141157656908035	0.050813440233469	0.0420475751161575	0.0539769120514393	0.0165388025343418	-0.0240229126065969	0.0308301001787186	0.163708716630936	0.0224126782268286	0.143925383687019	-0.0247900411486626	0.102661974728107	0.104106195271015	-0.0132740717381239	0.130170211195946	0.117508508265018	0.0924802124500275	0.046368632465601	0.0429533831775188	-0.0820758417248726	0.0155127951875329	0.0561389662325382	0.0449437685310841	-0.0761565044522285	-0.052933432161808	-0.102921910583973	0.0513835847377777	-0.00896739773452282	0.084825724363327	-0.0567152090370655	-0.131808280944824	-0.0546316504478455	-0.0602569207549095	-0.0253021903336048	-0.0864665359258652	0.0473909080028534	0.101492635905743	-0.025784844532609	0.132801741361618	-0.0676897764205933	0.01786769926548	0.0240190774202347	0.0372423529624939	0.0235482882708311	-0.0442639701068401	0.00504639465361834	-0.0871780961751938	-0.0346430018544197	-0.0241250526160002	-0.0463248044252396	0.0529888980090618	-0.00845891050994396	0.00117896124720573	0.00118766422383487	-0.0151768689975142	-0.0672967061400414	-0.0578134469687939	0.0253899116069078	-0.0660115480422974	0.0372620485723019	0.0245187170803547	-0.0316327400505543	0.0826406031847	0.0149405375123024	-0.0129834627732635	-0.0397692881524563	0.0361636765301228	0.0367641672492027	0.0665007457137108	-0.0480098240077496	-0.0111671900376678	0.00561687117442489	-0.0319050177931786	0.0553774014115334	0.0176520589739084	-0.06924669444561	0.0069831982254982	-0.161515712738037	-0.0366411954164505	0.0349310524761677	-0.00376886711455882	-0.0373634472489357	0.0874025747179985	-0.0469553954899311	0.064550943672657	-0.104667626321316	-0.0180327296257019	-0.0312612764537334	-0.128697589039803	0.00194885465316474	-0.0308235380798578	-0.00811011902987957	0.00331849418580532	-0.00827900227159262	0.0456928312778473	-0.0455793179571629	-0.0309984963387251	-0.138695254921913	0.0405610129237175	0.00435428135097027	-0.0428634658455849	0.0630572661757469	-0.0808734968304634	-0.0904692932963371	-0.024212995544076	-0.0372833944857121	-0.00867306906729937	-0.103001482784748	0.0268956962972879	0.0273664388805628
InferredCov5	-0.0261770710349083	-0.0385726541280746	-0.0138375340029597	0.0838652029633522	-0.0754658356308937	-0.0803550407290459	-0.061232216656208	-0.0565878599882126	0.0297631956636906	0.0347372181713581	-0.092682808637619	-0.0540290400385857	-0.0410190783441067	-0.0166953187435865	-0.044910404831171	-0.0415119230747223	-0.0100998049601912	-0.0626224800944328	-0.0827701687812805	-0.0148174613714218	0.114145912230015	0.0968270674347878	-0.0268562324345112	0.016174016520381	-0.0184551905840635	-0.0487187057733536	0.0701709240674973	-0.11205879598856	0.04728839173913	-0.070194698870182	-0.0973800495266914	-0.0741594433784485	0.0347934514284134	-0.0252848733216524	-0.029649069532752	-0.00853568781167269	-0.0402104929089546	-0.0032786971423775	0.0249935369938612	-0.0638089254498482	-0.0124518545344472	0.00799031462520361	-0.0697896704077721	0.0965301543474197	0.0333281718194485	-0.0931838005781174	-0.0139620807021856	0.0030900111887604	-0.0623447857797146	0.0335671752691269	-0.00912784691900015	0.0410910658538342	0.0404822900891304	-0.0515353791415691	0.0389587618410587	0.026118254289031	0.000326443230733275	-0.0495996885001659	0.194231584668159	-0.034202191978693	0.0175269432365894	-0.0569001398980618	-0.0108659202232957	0.071191594004631	0.00235086935572326	-0.00386279472149909	-0.0170855056494474	0.0897602364420891	-0.0596865639090538	0.0285591874271631	0.0308849159628153	0.0232642106711864	0.113660506904125	-0.0939865261316299	0.0553925037384033	-0.00550361815840006	0.201020464301109	-0.0232111942023039	0.0134344724938273	-0.0357919856905937	0.0680678859353065	-0.0357217900454998	0.00850096251815557	0.00692203501239419	-0.0119395358487964	0.01430135499686	0.0864565521478653	-0.0855810642242432	-0.0738967582583427	0.0740165337920189	0.0480519235134125	0.0813562944531441	0.0347271338105202	0.070931650698185	-0.00948713906109333	-0.0237493366003036	-0.0388079136610031	0.00134518835693598	0.0411446020007133	0.0671610906720161	0.0341929271817207	0.0452456288039684	0.0392770878970623	0.0166459325700998	-0.0211176648736	-0.0122067397460341	-0.0961813777685165	-0.0673132464289665	0.00372537295334041	-0.029766034334898	-0.00456481846049428	-0.00957393366843462	-0.0433771498501301	0.0613512545824051	-0.0792304798960686	0.0216380786150694	-0.0106636118143797	0.136925220489502	-0.0284585449844599	0.00780506478622556	0.268445938825607	-0.00895795132964849	0.0925526916980743	-0.0136561142280698	-0.0844292491674423	0.000183101568836719	-0.0135127948597074	-0.0527167282998562	-0.0483027584850788
