ID	GTEX-11GS4	GTEX-11OF3	GTEX-11TTK	GTEX-12696	GTEX-12WSG	GTEX-13112	GTEX-1399S	GTEX-13NYB	GTEX-13OVI	GTEX-13OVL	GTEX-13OW6	GTEX-13RTJ	GTEX-145MN	GTEX-147F4	GTEX-1497J	GTEX-14C39	GTEX-14C5O	GTEX-14E6D	GTEX-15CHQ	GTEX-15DYW	GTEX-16MT8	GTEX-17F96	GTEX-17F97	GTEX-17HHY	GTEX-1A3MW	GTEX-1A8FM	GTEX-1AX8Z	GTEX-1BAJH	GTEX-1C6VQ	GTEX-1CB4J	GTEX-1E2YA	GTEX-1EKGG	GTEX-1F48J	GTEX-1GF9V	GTEX-1GF9W	GTEX-1GMR3	GTEX-1GN1U	GTEX-1GTWX	GTEX-1JJ6O	GTEX-1JMLX	GTEX-1JMPZ	GTEX-1JMQJ	GTEX-1JMQK	GTEX-1K9T9	GTEX-1KWVE	GTEX-1LG7Y	GTEX-1MUQO	GTEX-1N2DW	GTEX-1N2EF	GTEX-1NV8Z	GTEX-1OJC4	GTEX-1PWST	GTEX-1QP6S	GTEX-1R9PO	GTEX-NPJ8	GTEX-O5YV	GTEX-P4QS	GTEX-QDT8	GTEX-QDVN	GTEX-REY6	GTEX-RN64	GTEX-S33H	GTEX-T5JC	GTEX-T6MN	GTEX-XPVG	GTEX-Y5V5	GTEX-Y5V6	GTEX-ZC5H	GTEX-ZDXO	GTEX-ZLFU	GTEX-ZVZP	GTEX-ZYFG	GTEX-ZYT6
PC1	 0.0091	 0.0146	 0.0161	 0.0149	 0.0136	 0.0144	 0.0145	-0.0945	-0.0872	 0.0152	 0.0157	 0.0144	-0.0985	 0.0077	-0.0950	 0.0145	 0.0135	 0.0138	 0.0139	 0.0147	 0.0145	 0.0145	 0.0165	 0.0149	 0.0134	 0.0147	 0.0150	 0.0138	 0.0145	 0.0145	 0.0143	 0.0157	 0.0123	 0.0151	 0.0155	 0.0159	 0.0146	 0.0135	 0.0133	-0.0900	-0.0931	 0.0143	 0.0148	 0.0156	 0.0131	 0.0138	 0.0150	 0.0144	 0.0158	 0.0131	 0.0159	 0.0157	 0.0161	 0.0108	 0.0164	 0.0148	-0.0865	 0.0133	 0.0153	 0.0089	 0.0143	 0.0118	 0.0140	 0.0144	 0.0151	 0.0158	 0.0148	 0.0148	 0.0145	-0.1001	 0.0149	 0.0147	 0.0134
PC2	-0.0024	-0.0037	-0.0009	-0.0065	-0.0001	-0.0046	-0.0025	-0.0152	-0.0141	-0.0073	-0.0068	-0.0009	-0.0150	 0.0025	-0.0124	-0.0067	-0.0045	-0.0046	-0.0007	-0.0053	-0.0040	-0.0077	-0.0076	-0.0075	 0.0011	-0.0064	-0.0076	-0.0050	 0.0017	-0.0117	-0.0065	-0.0057	-0.0014	-0.0080	-0.0054	-0.0076	-0.0012	-0.0057	-0.0014	-0.0172	-0.0171	-0.0041	-0.0013	-0.0054	-0.0040	-0.0001	-0.0086	-0.0070	-0.0079	-0.0050	-0.0062	-0.0042	-0.0042	-0.0004	-0.0062	-0.0073	-0.0088	-0.0035	-0.0076	-0.0009	-0.0024	-0.0014	-0.0038	-0.0075	-0.0023	-0.0019	-0.0052	-0.0006	-0.0068	-0.0080	-0.0068	-0.0026	-0.0088
PC3	-0.1295	 0.0209	 0.0287	 0.0167	 0.0169	 0.0166	-0.0091	 0.0069	 0.0079	 0.0241	 0.0102	 0.0167	-0.0054	-0.1715	 0.0064	 0.0178	-0.0129	-0.0065	 0.0039	 0.0256	 0.0310	 0.0284	 0.0170	 0.0228	 0.0218	-0.0289	 0.0207	 0.0115	-0.0055	 0.0035	 0.0087	 0.0055	-0.0480	 0.0005	 0.0138	 0.0080	 0.0252	 0.0125	-0.0210	-0.0033	-0.0038	-0.0209	 0.0233	 0.0151	-0.0244	 0.0211	 0.0144	-0.0063	-0.0057	-0.0063	 0.0192	 0.0140	 0.0139	-0.0734	 0.0083	-0.0034	 0.0019	-0.0278	 0.0185	-0.1411	 0.0226	-0.0515	 0.0323	 0.0227	 0.0287	 0.0102	 0.0201	 0.0457	 0.0083	-0.0015	-0.0161	 0.0054	 0.0044
PC4	 0.0143	 0.0036	 0.0091	-0.0067	 0.0042	 0.0097	 0.0000	-0.0019	 0.0063	 0.0048	-0.0143	 0.0119	 0.0026	 0.0120	-0.0145	 0.0152	 0.0039	-0.0017	 0.0110	 0.0193	 0.0451	-0.0020	 0.0012	-0.0062	 0.0131	-0.0077	-0.0069	 0.0036	-0.0039	-0.0088	 0.0145	-0.0023	-0.0014	-0.0105	-0.0085	 0.0071	 0.0204	 0.0057	 0.0086	 0.0114	 0.0077	 0.0065	 0.0265	-0.0191	-0.0110	 0.0165	 0.0058	 0.0143	-0.0037	-0.0220	 0.0158	 0.0054	 0.0021	 0.0084	-0.0039	-0.0065	-0.0082	 0.0232	-0.0051	 0.0141	 0.0155	 0.0091	 0.0169	-0.0134	-0.0043	-0.0011	-0.0090	 0.0113	 0.0062	-0.0103	-0.0064	 0.0112	 0.0052
PC5	-0.0224	 0.0210	-0.1136	 0.0151	-0.0041	 0.0054	 0.0197	 0.0038	-0.0079	 0.0292	 0.0109	-0.0255	-0.0004	-0.0221	-0.0121	 0.0205	 0.0173	 0.0104	-0.0752	-0.0834	-0.1611	 0.0247	 0.0207	 0.0394	-0.1168	-0.0016	 0.0172	 0.0291	 0.0323	-0.0092	-0.0073	 0.0197	-0.0040	 0.0132	 0.0208	-0.0003	-0.1341	 0.0309	-0.0096	 0.0063	 0.0151	-0.0233	-0.1343	 0.0384	 0.0199	-0.0999	-0.0002	 0.0196	 0.0000	 0.0008	 0.0222	 0.0220	-0.0166	-0.0064	 0.0033	 0.0105	-0.0140	-0.0360	 0.0130	 0.0169	-0.1301	-0.0048	-0.0210	-0.0012	 0.0214	 0.0032	 0.0281	-0.0370	 0.0257	-0.0058	-0.0157	 0.0151	 0.0148
InferredCov1	0.0531472638249397	-0.121609412133694	0.107230931520462	0.0821725204586983	0.011237888596952	0.0479915887117386	0.146055310964584	-0.177231058478355	0.139092355966568	0.00214175460860133	-0.0839167386293411	0.028647905215621	0.0288613624870777	0.102264650166035	-0.00807839725166559	0.00157728872727603	-0.0809032768011093	-0.183353796601295	-0.0434458069503307	-0.035515833646059	-0.00155922351405025	-0.0134820649400353	0.0566435530781746	-0.113055065274239	0.153184786438942	0.00775186158716679	0.0904037803411484	-0.0392135009169579	-0.0192499049007893	0.0279963817447424	0.0254867300391197	-0.0247992388904095	0.0404461920261383	-0.0344870090484619	-0.0213804915547371	-0.0297462306916714	0.00407990021631122	-0.0230515673756599	0.00676704244688153	0.0293244458734989	-0.0698715299367905	-0.133405730128288	0.0341240465641022	-0.044665202498436	-0.111543044447899	0.00959557387977839	0.11395700275898	0.0489401519298553	0.0849042683839798	-0.113290503621101	0.0773516669869423	0.0431862398982048	-0.0430979244410992	-0.0311277899891138	0.0296929925680161	-0.0514607988297939	-0.0145529108121991	-0.02368831820786	-0.0153746521100402	-0.0486230738461018	0.142661467194557	-0.0373799204826355	-0.0651029497385025	-0.206336870789528	0.0448578149080276	-0.0120149655267596	-0.0561176352202892	0.0173509921878576	-0.00442792288959026	0.118537925183773	0.128296852111816	0.0683884918689728	-0.0147812804207206
InferredCov2	0.0101284198462963	0.0473704189062119	0.0135602094233036	0.0393996573984623	-0.0812172219157219	0.185937538743019	-0.0359980538487434	-0.0217515230178833	0.0019799352157861	0.201900526881218	0.0585723146796227	-0.0224744044244289	-0.0840448886156082	0.0743748396635056	-0.131156802177429	-0.0261910650879145	-0.0793927162885666	0.0297186486423016	0.0770272985100746	0.0663270726799965	-0.0593098849058151	0.0251627471297979	0.0493913516402245	0.078889511525631	-0.00773479556664824	0.00558166205883026	-0.0353301353752613	0.058700792491436	0.0452409163117409	-0.0216852314770222	-0.00242870347574353	0.0770291313529015	-0.000987693667411804	0.0361057445406914	-0.131674632430077	-0.0652332901954651	0.029665682464838	0.0250421483069658	-0.0731109604239464	-0.0198159702122211	0.00147385220043361	0.0163674000650644	-0.0792303904891014	-0.0579953044652939	0.04531155154109	0.0623006150126457	-0.0162616986781359	0.0905058681964874	-0.1459930986166	0.059869434684515	0.160076305270195	-0.0867123305797577	0.0990232527256012	-0.0970969200134277	-0.000202571274712682	-0.0853915065526962	-0.155214935541153	-0.0249990653246641	-0.142181769013405	-0.0761458575725555	0.167967095971107	0.0182702634483576	-0.0420544520020485	0.00737322820350528	-0.0896484330296516	0.0194792971014977	-0.120045781135559	-0.0731093436479568	0.121761299669743	-0.00937164574861526	-0.0308279599994421	-0.0339750722050667	0.161635085940361
InferredCov3	0.0523839890956879	-0.0402826778590679	0.224333688616753	-0.125133872032166	-0.0300243366509676	-0.1293555945158	-0.0869282633066177	-0.00525601720437407	0.0018228463595733	-0.056801475584507	0.0340155139565468	0.0350599028170109	-0.147982627153397	0.0526137910783291	-0.113012254238129	0.0574333257973194	0.114597886800766	-0.0341025553643703	0.0558295287191868	-0.00081209372729063	-0.0192335247993469	-0.0128172431141138	0.0621689260005951	0.0327641367912292	0.172750681638718	0.052668921649456	-0.0135736716911197	0.041728675365448	0.102106250822544	0.00426335167139769	-0.0294587966054678	0.0691854879260063	0.0321970880031586	0.0431348755955696	0.0612512081861496	0.0696161240339279	0.0254416801035404	0.0854107961058617	0.0695591270923615	0.06187604367733	0.00754134217277169	-0.0280160680413246	-0.0212270952761173	-0.0019897089805454	0.000744129181839526	0.125204876065254	-0.0470134764909744	0.0454538129270077	0.121183998882771	0.0224325880408287	-0.104812636971474	0.172730565071106	0.00614888779819012	0.0871994495391846	0.0813363194465637	-0.0798444747924805	-0.127430632710457	-0.0413458421826363	-0.182538002729416	0.010603217408061	-0.020275978371501	-0.0560755245387554	0.0895672887563705	-0.0230810549110174	-0.0916135162115097	-0.0257711485028267	-0.149457946419716	0.0143453208729625	-0.0724195167422295	-0.103097759187222	-0.11546566337347	-0.130509912967682	-0.133413508534431
InferredCov4	0.0340619720518589	0.0561104118824005	0.131613090634346	0.107984855771065	-0.0392056368291378	-0.0522340945899487	0.0588159784674644	0.119389049708843	0.0265228301286697	-0.000249638978857547	-0.0537671856582165	0.0541263185441494	0.0993492901325226	0.0586558282375336	-0.052263006567955	0.0137084322050214	0.000359895959263667	0.146599248051643	0.0158388633280993	-0.139191940426826	-0.0949642658233643	-0.0351728275418282	0.074172280728817	-0.0415155291557312	-0.0525332801043987	0.0304538775235415	0.034143328666687	-0.119572296738625	-0.0129414042457938	0.0674645379185677	-0.129299134016037	0.0650370195508003	-0.0519065372645855	0.0134518090635538	0.00780268106609583	-0.156726732850075	-0.095768004655838	0.0635155215859413	-0.142069652676582	-0.052983995527029	0.0662060528993607	0.0518858358263969	0.0418366529047489	0.0374628193676472	0.0151570541784167	0.0670222863554955	0.115620918571949	0.111049100756645	0.0371452458202839	0.0311877876520157	-0.0461986102163792	0.0987657159566879	0.0288035646080971	0.12894994020462	-0.0479842945933342	-0.128407254815102	0.0267386697232723	-0.110922686755657	0.000977175892330706	-0.122727081179619	-0.13741372525692	-0.166240036487579	-0.122500084340572	0.123261600732803	-0.0109601588919759	-0.119453519582748	0.0420650877058506	-0.186058431863785	-0.0448721311986446	0.0554583296179771	0.0242725573480129	0.110679768025875	0.0707815065979958
InferredCov5	0.084181621670723	-0.0425243154168129	-0.0966655761003494	-0.0198477078229189	0.0827318876981735	-0.0655797943472862	-0.0222356505692005	0.0267832614481449	0.16197957098484	0.0314707048237324	0.0995223298668861	-0.154385641217232	0.0120849097147584	0.0761700347065926	0.0357573255896568	-0.082152932882309	-0.0871263444423676	-0.0480358004570007	-0.0226444806903601	0.0807307064533234	0.025493748486042	-0.0519922748208046	-0.102594889700413	0.0573835261166096	0.0603397227823734	0.118330754339695	0.170361906290054	0.065572127699852	-0.073121540248394	-0.06740503013134	-0.069330558180809	0.230899065732956	-0.035231526941061	0.144018515944481	-0.0458434894680977	0.0456570349633694	-0.12039440125227	-0.0246231369674206	-0.010967968031764	0.125439256429672	-0.0726250261068344	0.0430123396217823	-0.0455297157168388	0.111332632601261	0.0725904479622841	0.073761060833931	0.0208875369280577	-0.0321335792541504	0.00293987663462758	0.0138181587681174	-0.0903704911470413	-0.0424087904393673	-0.121389023959637	-0.0324805900454521	-0.257595181465149	-0.150121405720711	0.00112517352681607	0.0229347459971905	-0.0676706731319427	0.0451836064457893	0.0651350170373917	0.00328282685950398	-0.0722934603691101	0.025124330073595	0.0872893705964088	0.0923650190234184	0.079586535692215	-0.0701176077127457	-0.0728094503283501	-0.0515276826918125	-0.0301377680152655	0.0494563281536102	-0.0859205275774002
