ID	GTEX-1117F	GTEX-113JC	GTEX-11DXX	GTEX-11EM3	GTEX-11EMC	GTEX-11GSP	GTEX-11I78	GTEX-11P81	GTEX-11TTK	GTEX-11VI4	GTEX-11XUK	GTEX-12WSD	GTEX-12WSJ	GTEX-12ZZX	GTEX-131XG	GTEX-131YS	GTEX-1399S	GTEX-1399U	GTEX-13D11	GTEX-13N11	GTEX-13OVI	GTEX-13PL7	GTEX-13PVR	GTEX-13QBU	GTEX-13QIC	GTEX-13U4I	GTEX-13W3W	GTEX-146FH	GTEX-146FR	GTEX-147F3	GTEX-14AS3	GTEX-14BMU	GTEX-14DAQ	GTEX-14H4A	GTEX-14JG6	GTEX-14PJ6	GTEX-14PJM	GTEX-14PKU	GTEX-14PN3	GTEX-15DYW	GTEX-15ER7	GTEX-15SB6	GTEX-15SDE	GTEX-15SHU	GTEX-15UF6	GTEX-16NGA	GTEX-16NPV	GTEX-17F9Y	GTEX-17JCI	GTEX-183WM	GTEX-18A7A	GTEX-18D9A	GTEX-1A8FM	GTEX-1AMFI	GTEX-1C475	GTEX-1CAMS	GTEX-1EWIQ	GTEX-1F48J	GTEX-1F5PL	GTEX-1GF9U	GTEX-1GMR8	GTEX-1GN1U	GTEX-1GN1W	GTEX-1I4MK	GTEX-1ICG6	GTEX-1JMQL	GTEX-1JN1M	GTEX-1JN76	GTEX-1LGOU	GTEX-1LGRB	GTEX-1LH75	GTEX-1LNCM	GTEX-1LVAM	GTEX-1LVAN	GTEX-1MCC2	GTEX-1MCYP	GTEX-1NUQO	GTEX-1PIEJ	GTEX-1QCLZ	GTEX-1QP28	GTEX-1QPFJ	GTEX-1R9JW	GTEX-1S5ZU	GTEX-N7MT	GTEX-NPJ7	GTEX-OHPL	GTEX-OHPN	GTEX-P4PP	GTEX-P78B	GTEX-PLZ4	GTEX-PWCY	GTEX-PWN1	GTEX-PX3G	GTEX-Q734	GTEX-QCQG	GTEX-QDT8	GTEX-QVJO	GTEX-RU1J	GTEX-RWS6	GTEX-S341	GTEX-S4P3	GTEX-S4UY	GTEX-S7SF	GTEX-SE5C	GTEX-SN8G	GTEX-T2IS	GTEX-T6MO	GTEX-TML8	GTEX-TMMY	GTEX-TSE9	GTEX-U3ZN	GTEX-UJHI	GTEX-W5WG	GTEX-WEY5	GTEX-WRHU	GTEX-WYVS	GTEX-X15G	GTEX-X8HC	GTEX-XUW1	GTEX-XUZC	GTEX-XV7Q	GTEX-Y114	GTEX-Y3IK	GTEX-Y8LW	GTEX-YFC4	GTEX-YJ8O	GTEX-ZAK1	GTEX-ZC5H	GTEX-ZE7O	GTEX-ZGAY	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZQG8	GTEX-ZTPG	GTEX-ZV6S	GTEX-ZVT2	GTEX-ZVT3	GTEX-ZXES	GTEX-ZYVF	GTEX-ZYY3	GTEX-ZZPU
PC1	-0.0867	 0.0106	 0.0141	 0.0145	 0.0141	 0.0147	 0.0140	 0.0146	 0.0161	 0.0140	 0.0150	-0.1049	 0.0148	 0.0046	 0.0151	 0.0141	 0.0145	 0.0133	 0.0139	-0.0942	-0.0872	 0.0160	 0.0150	 0.0146	 0.0121	 0.0151	 0.0147	 0.0126	 0.0144	-0.0002	-0.0155	 0.0137	 0.0145	 0.0146	 0.0133	 0.0146	 0.0145	 0.0154	 0.0147	 0.0147	 0.0146	 0.0152	-0.0809	 0.0077	 0.0144	-0.0761	 0.0139	 0.0149	 0.0145	 0.0083	 0.0121	 0.0125	 0.0147	 0.0151	 0.0118	-0.0232	 0.0143	 0.0123	 0.0146	 0.0136	 0.0157	 0.0146	 0.0151	 0.0148	 0.0139	-0.0723	 0.0135	 0.0154	 0.0151	-0.0032	 0.0139	 0.0144	 0.0158	-0.0237	-0.0628	 0.0143	 0.0149	 0.0132	 0.0151	 0.0157	 0.0115	 0.0145	 0.0142	 0.0158	 0.0141	 0.0158	 0.0109	 0.0136	 0.0141	 0.0100	 0.0140	 0.0136	 0.0142	 0.0153	 0.0100	 0.0133	 0.0140	-0.0929	 0.0140	-0.1093	 0.0154	 0.0075	 0.0093	 0.0143	 0.0146	 0.0140	 0.0142	-0.0662	 0.0148	 0.0145	 0.0135	-0.0911	 0.0148	 0.0143	 0.0139	 0.0138	 0.0153	 0.0148	 0.0157	 0.0151	 0.0161	-0.1079	-0.0831	 0.0144	 0.0147	 0.0135	 0.0159	 0.0148	 0.0138	 0.0147	-0.0583	 0.0155	 0.0153	 0.0130	 0.0137	 0.0157	 0.0134	 0.0125	 0.0118	 0.0111	 0.0135
PC2	-0.0132	 0.0037	-0.0083	-0.0059	-0.0025	-0.0048	-0.0074	-0.0090	-0.0009	-0.0072	-0.0078	-0.0190	-0.0042	 0.0575	-0.0055	-0.0062	-0.0025	-0.0072	-0.0110	-0.0110	-0.0141	-0.0043	-0.0064	-0.0077	 0.0019	-0.0052	-0.0070	-0.0076	-0.0038	 0.0790	 0.2284	-0.0061	-0.0010	-0.0057	-0.0048	-0.0056	-0.0009	-0.0096	-0.0060	-0.0053	-0.0031	-0.0030	-0.0114	-0.0046	-0.0099	-0.0096	-0.0015	-0.0012	-0.0057	 0.0101	-0.0050	-0.0043	-0.0064	-0.0117	-0.0008	 0.2898	-0.0045	-0.0014	-0.0057	-0.0070	-0.0099	-0.0012	-0.0050	-0.0060	-0.0047	-0.0141	-0.0046	-0.0034	-0.0059	 0.0780	-0.0040	-0.0054	-0.0056	 0.2672	-0.0129	-0.0026	-0.0027	-0.0018	-0.0042	-0.0068	-0.0007	-0.0073	-0.0076	-0.0047	 0.0115	-0.0060	-0.0059	-0.0046	-0.0028	-0.0026	-0.0054	-0.0085	-0.0049	-0.0090	-0.0053	-0.0035	-0.0064	-0.0142	-0.0075	-0.0180	-0.0033	 0.0045	-0.0083	-0.0010	-0.0051	-0.0043	-0.0017	 0.0007	-0.0039	 0.0012	-0.0067	-0.0160	-0.0042	-0.0097	-0.0043	-0.0053	-0.0032	-0.0063	-0.0079	-0.0049	-0.0077	-0.0163	-0.0129	-0.0039	-0.0084	-0.0052	-0.0030	-0.0006	-0.0108	-0.0057	-0.0045	-0.0010	-0.0078	-0.0042	-0.0056	-0.0076	-0.0028	-0.0068	 0.0005	-0.0048	-0.0053
PC3	-0.0062	-0.0116	 0.0026	 0.0096	-0.0036	-0.0006	-0.0128	 0.0158	 0.0287	-0.0016	 0.0276	 0.0003	-0.0041	 0.0358	 0.0012	-0.0143	-0.0091	 0.0057	 0.0060	 0.0048	 0.0079	 0.0311	 0.0256	-0.0063	-0.0615	 0.0119	 0.0086	-0.0469	 0.0032	-0.0096	 0.0208	 0.0049	 0.0397	 0.0031	-0.0220	 0.0031	 0.0290	 0.0071	 0.0277	 0.0256	-0.0079	 0.0041	 0.0035	 0.0038	 0.0078	 0.0146	 0.0043	 0.0147	 0.0099	-0.1046	-0.0179	-0.0019	-0.0289	 0.0189	-0.0695	 0.0214	-0.0183	-0.0480	 0.0328	 0.0034	 0.0188	 0.0252	 0.0109	 0.0154	 0.0158	 0.0209	 0.0265	 0.0104	 0.0014	-0.0675	 0.0080	 0.0024	 0.0334	 0.0172	 0.0159	 0.0006	-0.0045	-0.0205	 0.0219	 0.0228	-0.0606	 0.0219	 0.0125	 0.0228	 0.0515	 0.0265	-0.0617	-0.0120	 0.0234	-0.0634	-0.0016	 0.0136	 0.0168	 0.0229	-0.0640	-0.0278	 0.0100	 0.0037	 0.0067	 0.0002	 0.0125	-0.1435	-0.0371	 0.0356	 0.0166	 0.0111	 0.0241	-0.0164	 0.0230	 0.0143	-0.0025	-0.0019	 0.0069	 0.0057	 0.0150	 0.0135	 0.0209	 0.0092	 0.0254	-0.0044	 0.0368	 0.0060	 0.0107	-0.0079	 0.0078	-0.0049	 0.0053	 0.0457	 0.0118	 0.0162	 0.0191	 0.0048	 0.0171	-0.0206	-0.0300	-0.0097	-0.0232	 0.0241	-0.0678	-0.0795	-0.0058
PC4	 0.0046	-0.0239	 0.0150	 0.0145	 0.0053	 0.0135	 0.0014	 0.0135	 0.0091	-0.0007	 0.0170	 0.0065	 0.0114	-0.1361	-0.0052	 0.0085	 0.0000	 0.0029	-0.0106	 0.0029	 0.0063	 0.0149	-0.0022	 0.0090	 0.0200	-0.0201	-0.0003	 0.0109	 0.0038	-0.2303	 0.0443	-0.0020	 0.0261	-0.0048	-0.0022	-0.0116	 0.0245	 0.0130	-0.0037	 0.0193	 0.0103	 0.0123	 0.0053	-0.0097	-0.0115	 0.0073	 0.0169	-0.0058	 0.0022	 0.0266	 0.0128	 0.0133	-0.0077	-0.0041	-0.0052	 0.0909	-0.0038	-0.0014	 0.0095	 0.0072	 0.0110	 0.0204	 0.0038	 0.0143	 0.0037	 0.0132	 0.0009	 0.0008	-0.0054	 0.0115	-0.0069	 0.0015	 0.0038	 0.1142	-0.0074	-0.0015	 0.0183	 0.0218	 0.0053	 0.0197	-0.0020	 0.0193	-0.0088	 0.0052	 0.0073	 0.0052	 0.0047	 0.0021	 0.0041	-0.0029	-0.0091	-0.0207	-0.0105	 0.0026	 0.0061	 0.0232	 0.0076	 0.0103	 0.0011	 0.0153	-0.0083	 0.0055	 0.0047	-0.0096	-0.0021	 0.0009	-0.0106	-0.0302	 0.0066	 0.0268	-0.0166	 0.0095	-0.0037	 0.0005	-0.0041	-0.0133	-0.0074	 0.0153	 0.0198	-0.0100	-0.0004	 0.0066	 0.0032	-0.0074	 0.0103	 0.0077	 0.0026	 0.0113	-0.0054	-0.0170	-0.0048	-0.0022	 0.0059	-0.0156	 0.0148	-0.0080	-0.0077	 0.0198	 0.0063	-0.0113	 0.0014
PC5	 0.0054	-0.0036	 0.0228	 0.0263	 0.0064	 0.0029	 0.0086	 0.0366	-0.1136	 0.0127	 0.0219	-0.0034	-0.0076	 0.0018	-0.0012	 0.0079	 0.0197	 0.0208	 0.0113	 0.0049	-0.0079	-0.1417	 0.0209	 0.0336	-0.0630	 0.0020	 0.0423	 0.0039	 0.0204	-0.0367	 0.0063	 0.0141	-0.1341	 0.0463	 0.0199	 0.0099	-0.1005	-0.0218	 0.0388	-0.0834	 0.0279	-0.0164	 0.0026	-0.0061	 0.0226	 0.0152	-0.0483	-0.0319	 0.0208	-0.0163	-0.0408	-0.0370	-0.0016	 0.0301	-0.0049	 0.0326	 0.0006	-0.0040	-0.0445	 0.0169	 0.0320	-0.1341	 0.0207	 0.0425	 0.0059	 0.0046	-0.0520	 0.0230	 0.0125	-0.0366	 0.0098	 0.0010	 0.0218	 0.0311	 0.0036	 0.0136	-0.0247	-0.0140	 0.0097	-0.0025	-0.0067	 0.0173	 0.0205	 0.0059	-0.0375	 0.0304	-0.0043	 0.0307	-0.0441	 0.0166	 0.0335	 0.0058	 0.0240	 0.0556	 0.0154	-0.0360	 0.0189	-0.0056	 0.0395	-0.0044	 0.0281	 0.0033	-0.0139	-0.0180	 0.0333	-0.0173	 0.0114	 0.0094	-0.0339	-0.1128	 0.0486	 0.0072	 0.0223	 0.0089	 0.0008	 0.0399	 0.0196	-0.0223	-0.0816	 0.0318	 0.0392	-0.0102	-0.0042	 0.0076	 0.0417	 0.0057	 0.0265	-0.0370	 0.0006	 0.0325	-0.0080	 0.0326	 0.0115	-0.0024	 0.0177	 0.0133	 0.0071	 0.0098	 0.0326	 0.0100	 0.0087
InferredCov1	-0.0415502227842808	0.0248534642159939	-0.0230990033596754	0.0468742251396179	-0.0293291620910168	0.0654080957174301	-0.0755031779408455	-0.0274256765842438	-0.0234855692833662	-0.0358622744679451	-0.055975504219532	0.0587737038731575	0.0453490056097507	0.0652746483683586	-0.017136562615633	0.0476392470300198	-0.0437077544629574	-0.0231499224901199	-0.0172012373805046	0.0564053282141685	0.0487969182431698	-0.0227576587349176	0.00387325813062489	-0.0165144093334675	0.0509090796113014	0.0240966472774744	0.0459670685231686	-0.00210966146551073	0.0224156994372606	0.0518748760223389	-0.0687919184565544	-0.0247762687504292	0.0573616214096546	-0.0297890044748783	-0.0376385897397995	-0.0389061011373997	0.0505682490766048	-0.0708085969090462	-0.0656440109014511	0.0495361723005772	-0.0211407765746117	-0.0240331441164017	-0.052939735352993	-0.0019888028036803	0.0613912865519524	-0.05824114382267	0.0332275740802288	-0.027133883908391	0.054548017680645	0.0531160086393356	-0.00359372212551534	-0.0365122891962528	-0.0166566520929337	-0.0301365982741117	-0.0236934795975685	-0.0485052578151226	0.0646897107362747	0.0436343960464001	-0.0676731392741203	-0.0495958365499973	0.0269709099084139	0.0443612635135651	-0.0253761578351259	0.0387703217566013	0.00444080354645848	-0.0439229607582092	0.0619998015463352	-0.067030094563961	-0.026101591065526	0.0362296923995018	-0.00376179558224976	0.0171623043715954	-0.0489365346729755	-0.0543667115271091	0.0327403768897057	-0.08254524320364	-0.0298890676349401	0.0348004661500454	0.0252374168485403	-0.0452279672026634	0.0425466857850552	-0.0137039292603731	0.0475980825722218	-0.0193788856267929	0.0337761603295803	0.00489635393023491	0.0315978080034256	0.0203310120850801	-0.00424296455457807	0.0444919094443321	-0.0431734547019005	-0.0206778980791569	0.00500624114647508	-0.037583090364933	-0.00123556854669005	0.0304839666932821	-0.0254888944327831	0.0417081862688065	0.0315249972045422	-0.0727069526910782	-0.0125726647675037	0.0417314879596233	-0.0644225254654884	-0.0595380887389183	0.011453602463007	0.00360832596197724	-0.0307798497378826	-0.0293986834585667	0.00837980955839157	0.0321830883622169	-0.0362552851438522	0.0498203970491886	0.0455537959933281	0.0434557273983955	0.0610826835036278	0.00662535754963756	0.000754681474063545	-0.00230358657427132	0.0120997875928879	0.0098680816590786	0.0180661901831627	0.035376600921154	-0.0438951663672924	-0.0134140141308308	0.0623972974717617	-0.00825491920113564	0.0645205602049828	-0.0213273167610168	0.0101370150223374	0.0100435502827168	-0.0606483109295368	-0.0294240489602089	0.0406846739351749	-0.0204934328794479	0.0401822961866856	-0.0319079235196114	0.066891260445118	-0.047365378588438	0.0431745089590549	0.0138551546260715	-0.086747832596302
InferredCov2	0.0918482318520546	0.0992480143904686	-0.0341978408396244	-0.100355491042137	0.0388178266584873	0.0318008735775948	0.0114102847874165	0.0620594061911106	0.157833725214005	-0.0344789437949657	-0.022124582901597	-0.0352516323328018	-0.091940201818943	0.0257336832582951	0.00237627699971199	0.0714780166745186	-0.025052247568965	-0.0411340184509754	-0.0893298611044884	-0.0299061574041843	-0.0799978598952293	0.0298959854990244	-0.0474060326814651	0.000801515474449843	0.0668593645095825	0.0210133325308561	-0.0968832299113274	-0.00425102561712265	-0.0328620634973049	-0.0489536449313164	0.0419047176837921	-0.0668317526578903	0.0674487426877022	-0.0438331365585327	-0.0994268730282784	-0.0290487632155418	0.0386442318558693	-0.0671333894133568	-0.0360245034098625	0.0555691830813885	0.0527223013341427	0.0323967598378658	0.0526212081313133	0.0609636045992374	0.03709352388978	-0.012773048132658	0.0491337068378925	0.0828593745827675	0.111602619290352	0.0460923686623573	0.045811764895916	-0.0454310216009617	0.0821017175912857	-0.0352354124188423	-0.0579929165542126	-0.00699843745678663	0.044520128518343	0.0220353398472071	-0.0645925104618073	0.0479631796479225	0.0131284631788731	0.0782599449157715	-0.0442807823419571	-0.135689109563828	0.0652406588196754	0.0927633792161942	0.0572209134697914	-0.0149573581293225	-0.0319838710129261	-0.106500223278999	0.0637524947524071	0.0715876296162605	-0.00125136820133775	0.0355861037969589	-0.137876838445663	-0.0774329826235771	-0.00999235082417727	0.00883427821099758	-0.0485578328371048	-0.0141870332881808	-0.0647765249013901	0.0168047398328781	0.0373138710856438	0.0980529338121414	0.0437082797288895	-0.113546438515186	0.0327396504580975	-0.00526837259531021	0.0395601689815521	0.0543609634041786	-0.0354793891310692	-0.0435311682522297	-0.00277078547514975	0.0241575669497252	-0.0274588260799646	0.057255819439888	0.0534854270517826	-0.103420287370682	-0.0290438812226057	0.0234140083193779	0.0372168570756912	-0.0659144297242165	0.0411870591342449	0.00475593190640211	0.103236667811871	0.0568635277450085	0.0164290722459555	0.00952346436679363	-0.0232044328004122	0.0286809112876654	-0.00330444797873497	-0.0676771551370621	-0.0906466543674469	-0.12046255171299	0.0110939098522067	0.0170955136418343	0.00797698181122541	0.0307221189141273	-0.0090098362416029	-0.0917635783553123	-0.00192490941844881	-0.153704300522804	0.0149137694388628	0.0175206661224365	0.0666520521044731	0.0878560468554497	0.0109444931149483	0.117575071752071	0.0648887977004051	-0.0879246592521667	-0.0471108742058277	-0.0682784542441368	-0.119232498109341	-0.0374927073717117	-0.0770813524723053	-0.0498672462999821	0.0871986150741577	-0.0189555063843727	0.0230166036635637	0.0801543518900871	-0.00946374982595444
InferredCov3	0.00896279141306877	-0.0911110267043114	0.0978447049856186	-0.0348471775650978	-0.0279530510306358	-0.0279516614973545	-0.0202351231127977	0.0271361004561186	-0.0400118082761765	0.0405100882053375	-0.0191258639097214	-0.00291774747893214	-0.0191232059150934	-0.049155917018652	-0.125258788466454	0.0846696048974991	0.00859141908586025	0.0231538843363523	0.0096340486779809	0.0508108139038086	-0.0348314642906189	-0.0418212376534939	0.0836393684148788	-0.00371681223623455	0.000277859275229275	0.0355464927852154	-0.011767934076488	0.05276994779706	0.00368646532297134	-0.000798228837084025	-0.166883319616318	-0.0450055934488773	0.0673056244850159	-0.0546836704015732	-0.122570708394051	0.0504592806100845	0.0594535991549492	-0.0565870627760887	-0.000882238615304232	0.0498538203537464	-0.00255803950130939	0.0634569451212883	0.0904675722122192	0.0381183065474033	-0.0602425374090672	-0.0201257821172476	-0.109442427754402	-0.0966447070240974	0.0384742133319378	-0.0171387027949095	0.0499361343681812	0.00111891771666706	0.0103150038048625	-0.0371222347021103	-0.00662285089492798	-0.0486548095941544	0.0446501448750496	0.0280252564698458	-0.0164452996104956	0.110813342034817	-0.045732744038105	-0.0587139241397381	0.0440743267536163	0.00566190108656883	0.152464389801025	-0.152469217777252	0.0732713714241982	0.0487539656460285	-0.00879359431564808	-0.0267611239105463	0.0680569186806679	-0.174362123012543	0.0366956256330013	-0.0656242594122887	-0.0174570325762033	-0.00990687403827906	0.0438482575118542	0.0729145109653473	0.0875265002250671	0.0396850854158401	-0.0161638967692852	0.0776275917887688	-0.225034177303314	-0.0379382222890854	-0.0076272264122963	0.0736354365944862	0.0683318823575974	0.0577775128185749	0.0108612794429064	-0.0462242923676968	-0.00143311836291105	-0.0627216622233391	0.0772114917635918	0.00292312470264733	0.0984359309077263	0.038296565413475	0.0115772597491741	-0.0508551746606827	0.0339535661041737	0.0335180051624775	-0.0263167079538107	0.00577917043119669	0.0274676755070686	-0.0179613679647446	-0.026438195258379	0.0301570221781731	-0.0615685768425465	0.0439991131424904	-0.0346498191356659	-0.0473245494067669	-0.0440078377723694	-0.0251924060285091	0.00186936662066728	-0.0273262783885002	-0.045917984098196	0.0282979141920805	0.130222424864769	-0.16472701728344	0.0270430985838175	0.0433528833091259	0.041121318936348	-0.01015052665025	0.0768391937017441	-0.00677322270348668	0.0123848654329777	0.0406661815941334	0.00541505869477987	-0.00186383933760226	0.100993037223816	0.00280711497180164	-0.00464758230373263	0.00820594560354948	-0.0237869992852211	-0.0448805429041386	-0.0240286942571402	0.0672088041901588	0.00213050376623869	-0.0180333405733109	-0.107572890818119	-0.0037932638078928	0.0301358532160521
InferredCov4	0.054846566170454	-0.0374750532209873	-0.11809179931879	0.0785183310508728	-0.0503573827445507	0.035695243626833	0.0524205751717091	0.0244355052709579	-0.0303354747593403	0.0198210328817368	-0.00835302844643593	-0.028688283637166	0.00998827442526817	0.0224876739084721	-0.0978317186236382	0.0451802164316177	0.0751867517828941	0.00590428337454796	-0.153617978096008	0.0455228835344315	0.0708178207278252	0.0950556546449661	-0.0600354373455048	-0.046084500849247	-0.0478683076798916	0.0175894014537334	0.0573598071932793	-0.0430646724998951	0.0601137727499008	0.127635091543198	0.0897271856665611	0.0477796904742718	0.043610617518425	0.0579757131636143	-0.0920745357871056	-0.0974872261285782	0.0460863783955574	0.0256617534905672	0.0522871017456055	0.0582283474504948	-0.113534949719906	0.0779059082269669	0.0262272357940674	0.00216009560972452	0.0186250042170286	0.0409697815775871	0.0167792066931725	0.0477028787136078	-0.0272091403603554	-0.0221816785633564	0.0391795225441456	-0.0599008947610855	-0.0949588268995285	-0.251519083976746	0.0365838892757893	0.00895411614328623	-0.0416607297956944	-0.0208566226065159	-0.028678460046649	0.0472822822630405	0.0184304900467396	0.0922919884324074	0.00970334094017744	-0.042414665222168	0.0410195253789425	0.000537846703082323	-0.0163209289312363	0.00204896810464561	0.165114030241966	0.0381767004728317	0.00417719222605228	-0.0730581507086754	-0.0123159140348434	0.0348001681268215	0.116657383739948	0.0246287360787392	-0.127626180648804	0.0306846853345633	0.12767793238163	-0.0790549218654633	-0.0307010244578123	0.0484191998839378	-0.0597250796854496	0.0763640701770782	0.00489175459370017	0.00359914638102055	-0.0536209233105183	0.0498413369059563	-0.012417646124959	0.00880905706435442	0.00282676960341632	0.0290086045861244	-0.0919478312134743	0.00394028099253774	-0.13849475979805	-0.0293042119592428	-0.00985908508300781	-0.00924363546073437	-0.0181674901396036	0.0230595432221889	0.0282125454396009	-0.0515777841210365	-0.0509453341364861	-0.00557446153834462	-0.0298382602632046	-0.117514863610268	0.0739957913756371	0.0408852435648441	-0.00122030556667596	-0.00754877831786871	0.00766055658459663	0.0128807071596384	-0.0135115580633283	-0.0329088233411312	-0.0578855276107788	0.0574139431118965	-0.0785714536905289	-0.0902964919805527	-0.0328955687582493	0.0130317518487573	-0.152161061763763	0.074242390692234	0.026966730132699	-0.0946413949131966	5.69537078263238e-05	-0.0367068164050579	0.0670561194419861	0.0944152623414993	0.0797083675861359	0.0138011435046792	-0.0315265730023384	-0.0620544403791428	-0.0182215422391891	0.0451474189758301	-0.0654582530260086	-0.0440642945468426	-0.0461564622819424	0.19566385447979	-0.0209337640553713	0.0261954665184021	0.020131628960371
InferredCov5	-0.00951087661087513	-0.00164022133685648	0.0680789276957512	-0.0686082914471626	0.0788878872990608	0.0844048336148262	-0.0404743812978268	-0.0197544395923615	-0.12661100924015	-0.0329263806343079	0.0364326238632202	0.0425145104527473	-0.0271510984748602	0.0384844914078712	-0.00852745585143566	-0.0101706562563777	-0.00155806704424322	-0.0969838127493858	-0.0166449975222349	-0.0675474405288696	-0.0598041675984859	-0.12375558167696	0.0167061667889357	-0.103085555136204	0.0159531235694885	0.0393060371279716	0.0146734965965152	0.158852726221085	-0.0811673328280449	-0.0293200965970755	0.0775709226727486	0.0400253646075726	0.0192441903054714	-0.034255214035511	0.158936694264412	0.0539649613201618	0.0564294941723347	0.0182429403066635	0.0367912761867046	0.0616734102368355	0.00550365913659334	0.0632241442799568	0.0124307591468096	-0.0132785458117723	0.0577202551066875	-0.00178572535514832	0.0460334122180939	0.014259172603488	-0.024813961237669	0.0484359078109264	0.0461980104446411	-0.00227182172238827	-0.0867938920855522	-0.103255622088909	-0.00577744701877236	0.0326340161263943	-0.0197594296187162	0.0488016083836555	0.101877100765705	0.0675702691078186	0.0558795034885406	-0.00793818011879921	0.0590575002133846	-0.0158771742135286	-0.0495430789887905	-0.0305558703839779	0.0164105463773012	0.0761554688215256	-0.0506104715168476	0.0869167074561119	0.0315973050892353	-0.0675952360033989	-0.030620601028204	-0.0942983627319336	0.0880466103553772	0.0590538047254086	-0.0174268987029791	-0.119919508695602	-0.0425164103507996	-0.00451239850372076	-0.0556203238666058	0.0318385884165764	-0.0119002917781472	-0.00914291851222515	0.0472058206796646	0.144491016864777	0.0254743676632643	-0.120788246393204	0.00110725848935544	0.0405031815171242	0.0187201220542192	-0.114616349339485	-0.0730966553092003	0.0552418194711208	-0.0105824274942279	-0.0340808816254139	0.063789427280426	-0.00605459650978446	-0.00963460933417082	-0.0827888622879982	-0.080547071993351	-0.117240242660046	-0.0238162241876125	-0.109247989952564	-0.0330667123198509	-0.0610810928046703	-0.0890235304832458	-0.00400149170309305	-0.0488262586295605	0.117704272270203	0.0309589486569166	-0.0602739751338959	-0.0205400846898556	-0.0557190217077732	-0.0819954574108124	0.058707095682621	0.0719145834445953	0.133914515376091	-0.0806014984846115	-0.0670216679573059	0.130224764347076	-0.0589670538902283	0.0481717996299267	-0.146924749016762	0.034072820097208	-0.0670253932476044	0.0799738317728043	0.00546128023415804	0.0937898382544518	-0.0528120622038841	-0.00629761489108205	0.0103628514334559	-0.0704635977745056	0.17068587243557	-0.00946884974837303	0.0296773165464401	-0.0498839840292931	-0.0524129793047905	0.14005720615387	0.0273481421172619	-0.027531411498785
