ID	GTEX-1117F	GTEX-111FC	GTEX-1192X	GTEX-11EMC	GTEX-11EQ9	GTEX-11NV4	GTEX-11P81	GTEX-11P82	GTEX-11TUW	GTEX-11WQK	GTEX-11ZTS	GTEX-11ZTT	GTEX-12WSL	GTEX-12WSM	GTEX-12WSN	GTEX-13111	GTEX-13113	GTEX-1314G	GTEX-131XF	GTEX-131XH	GTEX-1339X	GTEX-13CF2	GTEX-13G51	GTEX-13JVG	GTEX-13NYB	GTEX-13O21	GTEX-13OVI	GTEX-13OVK	GTEX-13OVL	GTEX-13QBU	GTEX-13QJC	GTEX-13VXT	GTEX-1445S	GTEX-146FR	GTEX-14B4R	GTEX-14E1K	GTEX-14JIY	GTEX-14PJ3	GTEX-14PJN	GTEX-14PN4	GTEX-15CHC	GTEX-15EU6	GTEX-15RJE	GTEX-15SHV	GTEX-178AV	GTEX-17KNJ	GTEX-17MFQ	GTEX-18A67	GTEX-18A7B	GTEX-18D9U	GTEX-18QFQ	GTEX-1A3MV	GTEX-1AMEY	GTEX-1AX8Z	GTEX-1AX9K	GTEX-1AYD5	GTEX-1B8KZ	GTEX-1B8SF	GTEX-1B932	GTEX-1B97J	GTEX-1C4CL	GTEX-1C64N	GTEX-1C64O	GTEX-1C6VR	GTEX-1CB4I	GTEX-1EH9U	GTEX-1GF9X	GTEX-1GMR2	GTEX-1GN1V	GTEX-1GN1W	GTEX-1GPI7	GTEX-1GTWX	GTEX-1GZ2Q	GTEX-1I4MK	GTEX-1I6K7	GTEX-1IDJC	GTEX-1IDJD	GTEX-1JKYR	GTEX-1JN1M	GTEX-1JN6P	GTEX-1KANC	GTEX-1KD4Q	GTEX-1KD5A	GTEX-1LBAC	GTEX-1LC47	GTEX-1LKK1	GTEX-1LSNL	GTEX-1LVA9	GTEX-1LVAO	GTEX-1MCC2	GTEX-1MCQQ	GTEX-1MGNQ	GTEX-1NSGN	GTEX-1OJC3	GTEX-1OJC4	GTEX-1P4AB	GTEX-1PIEJ	GTEX-1POEN	GTEX-1PPH8	GTEX-1QCLZ	GTEX-1QEPI	GTEX-1QMI2	GTEX-1QP9N	GTEX-1R9K4	GTEX-1R9K5	GTEX-1R9PM	GTEX-1R9PO	GTEX-1RAZA	GTEX-1RNSC	GTEX-1S82P	GTEX-1S83E	GTEX-WFJO	GTEX-WH7G	GTEX-WHSB	GTEX-WOFM	GTEX-WY7C	GTEX-WYVS	GTEX-X15G	GTEX-X261	GTEX-X3Y1	GTEX-X5EB	GTEX-XGQ4	GTEX-XMK1	GTEX-XV7Q	GTEX-Y111	GTEX-Y3I4	GTEX-Y5LM	GTEX-Y5V6	GTEX-YB5K	GTEX-YF7O	GTEX-ZA64	GTEX-ZAB5	GTEX-ZC5H	GTEX-ZE7O	GTEX-ZF29	GTEX-ZG7Y	GTEX-ZLFU	GTEX-ZLWG	GTEX-ZP4G	GTEX-ZPU1	GTEX-ZQG8	GTEX-ZQUD	GTEX-ZT9W	GTEX-ZXG5
PC1	-0.0867	 0.0099	 0.0138	 0.0141	 0.0135	-0.0966	 0.0146	 0.0140	 0.0139	 0.0136	 0.0154	 0.0144	 0.0145	 0.0158	 0.0146	 0.0065	-0.0688	 0.0145	-0.0213	-0.1155	 0.0151	 0.0137	 0.0136	 0.0156	-0.0945	 0.0153	-0.0872	 0.0127	 0.0152	 0.0146	 0.0145	-0.0868	 0.0143	 0.0144	 0.0144	-0.0858	 0.0147	-0.0035	 0.0145	 0.0146	 0.0149	 0.0110	 0.0145	 0.0139	 0.0134	 0.0138	 0.0156	 0.0130	 0.0147	-0.0095	-0.0832	 0.0137	 0.0132	 0.0150	 0.0058	-0.0984	 0.0134	 0.0143	 0.0160	 0.0150	-0.0232	 0.0144	-0.1038	 0.0075	 0.0132	 0.0139	-0.0038	-0.0793	 0.0152	 0.0151	 0.0146	 0.0135	 0.0138	 0.0148	 0.0152	-0.0166	 0.0149	 0.0152	 0.0135	 0.0141	-0.1097	 0.0142	 0.0155	-0.0975	 0.0149	 0.0147	 0.0155	 0.0145	 0.0136	-0.0628	 0.0162	 0.0077	-0.0972	-0.0889	 0.0159	 0.0149	 0.0132	 0.0133	-0.0612	 0.0151	 0.0153	 0.0143	 0.0047	 0.0148	 0.0143	 0.0161	 0.0108	 0.0152	 0.0158	 0.0144	 0.0143	 0.0145	 0.0152	 0.0142	 0.0149	 0.0139	 0.0138	 0.0153	 0.0147	-0.0887	 0.0136	 0.0148	 0.0126	 0.0161	 0.0143	 0.0143	 0.0148	 0.0148	 0.0137	 0.0140	 0.0144	 0.0154	 0.0148	 0.0138	 0.0141	 0.0142	-0.1001	-0.0583	 0.0155	-0.0853	 0.0153	-0.0898	 0.0143	 0.0073
PC2	-0.0132	-0.0050	-0.0056	-0.0025	-0.0064	-0.0143	-0.0090	-0.0044	-0.0082	-0.0102	-0.0085	-0.0046	-0.0060	-0.0059	-0.0085	 0.0228	-0.0116	-0.0063	 0.0021	-0.0190	-0.0031	 0.0018	-0.0007	-0.0054	-0.0152	-0.0023	-0.0141	-0.0046	-0.0073	-0.0077	-0.0063	-0.0107	-0.0048	-0.0038	-0.0095	-0.0184	-0.0039	 0.0761	-0.0056	-0.0049	-0.0061	-0.0042	-0.0084	-0.0034	-0.0041	-0.0085	-0.0033	-0.0061	-0.0062	 0.0757	-0.0084	-0.0085	 0.0032	-0.0076	-0.0070	-0.0165	-0.0044	-0.0021	-0.0034	-0.0054	 0.2773	-0.0053	-0.0152	 0.0028	-0.0025	-0.0022	 0.0829	-0.0044	-0.0052	-0.0050	-0.0057	-0.0057	-0.0016	-0.0060	-0.0046	 0.1021	-0.0042	-0.0047	-0.0046	-0.0062	-0.0199	-0.0062	-0.0029	-0.0128	-0.0055	-0.0056	-0.0049	-0.0062	-0.0021	-0.0129	-0.0089	-0.0047	-0.0119	-0.0138	-0.0062	-0.0065	-0.0018	-0.0054	 0.0010	-0.0042	-0.0073	-0.0068	 0.0373	-0.0043	-0.0065	-0.0087	-0.0004	-0.0043	-0.0062	-0.0061	-0.0080	-0.0021	-0.0049	-0.0040	-0.0042	-0.0067	-0.0053	-0.0032	-0.0058	-0.0123	-0.0121	-0.0019	-0.0041	-0.0077	-0.0055	-0.0101	-0.0051	-0.0052	-0.0094	-0.0068	-0.0044	-0.0063	-0.0006	-0.0108	-0.0031	-0.0064	-0.0080	-0.0045	-0.0010	-0.0079	-0.0078	-0.0139	-0.0061	 0.0060
PC3	-0.0062	 0.0304	 0.0067	-0.0036	-0.0041	-0.0172	 0.0158	 0.0082	-0.0105	 0.0010	 0.0164	 0.0131	 0.0110	 0.0079	 0.0226	-0.1056	-0.0083	 0.0098	-0.0461	 0.0016	 0.0061	 0.0017	-0.0055	 0.0228	 0.0069	-0.0006	 0.0079	-0.0078	 0.0241	-0.0063	-0.0245	-0.0039	 0.0219	 0.0032	 0.0181	 0.0000	 0.0111	-0.0109	 0.0266	-0.0015	 0.0082	-0.0952	 0.0146	-0.0049	 0.0061	-0.0102	 0.0272	 0.0114	 0.0259	-0.0332	 0.0165	-0.0013	 0.0434	 0.0207	 0.0101	 0.0084	 0.0011	-0.0018	 0.0187	 0.0158	 0.0145	-0.0124	 0.0096	-0.1649	 0.0030	 0.0103	-0.0205	 0.0023	 0.0041	 0.0109	-0.0052	 0.0125	 0.0092	 0.0154	 0.0238	 0.0039	 0.0152	 0.0064	 0.0265	 0.0122	 0.0089	 0.0098	 0.0298	 0.0058	 0.0287	 0.0380	 0.0124	 0.0136	 0.0190	 0.0159	 0.0198	 0.0189	 0.0063	-0.0008	 0.0192	 0.0400	-0.0205	 0.0199	-0.0071	 0.0219	 0.0092	 0.0095	-0.0137	 0.0184	 0.0112	 0.0055	-0.0734	 0.0151	 0.0181	 0.0149	 0.0061	 0.0117	 0.0069	 0.0115	 0.0281	 0.0187	 0.0135	 0.0209	-0.0024	 0.0065	 0.0142	 0.0132	 0.0225	 0.0368	 0.0082	-0.0026	 0.0052	 0.0201	-0.0038	 0.0161	 0.0025	 0.0152	 0.0457	 0.0118	 0.0222	 0.0154	-0.0015	 0.0191	 0.0048	-0.0018	 0.0171	 0.0145	 0.0057	-0.1548
PC4	 0.0046	 0.0076	 0.0275	 0.0053	 0.0020	 0.0002	 0.0135	-0.0119	 0.0023	 0.0111	-0.0036	-0.0084	-0.0075	-0.0092	 0.0014	 0.0190	 0.0063	-0.0026	-0.0606	 0.0181	-0.0031	-0.0108	-0.0160	-0.0094	-0.0019	-0.0073	 0.0063	 0.0234	 0.0048	 0.0090	-0.0109	 0.0016	-0.0004	 0.0038	 0.0050	-0.0004	 0.0045	-0.2112	-0.0034	 0.0057	 0.0063	-0.0104	-0.0056	 0.0047	 0.0001	-0.0173	 0.0090	 0.0081	 0.0049	-0.2255	-0.0116	 0.0063	 0.0023	-0.0069	 0.0151	-0.0016	 0.0033	-0.0032	-0.0060	-0.0077	 0.1244	 0.0107	 0.0099	 0.0141	 0.0018	 0.0012	-0.2164	-0.0175	 0.0060	 0.0038	-0.0030	 0.0057	-0.0021	 0.0143	 0.0122	-0.2764	 0.0051	 0.0011	 0.0009	 0.0150	 0.0084	 0.0083	 0.0025	 0.0178	 0.0002	-0.0058	-0.0072	 0.0041	-0.0192	-0.0074	-0.0053	 0.0141	 0.0112	 0.0032	 0.0158	-0.0197	 0.0218	-0.0134	-0.0433	 0.0053	 0.0001	 0.0073	-0.1217	-0.0092	-0.0044	-0.0153	 0.0084	 0.0207	-0.0068	-0.0036	 0.0005	 0.0106	 0.0083	 0.0020	 0.0083	 0.0107	-0.0133	-0.0074	 0.0083	-0.0001	 0.0044	-0.0150	-0.0016	-0.0004	-0.0035	-0.0178	 0.0091	-0.0090	 0.0188	-0.0015	 0.0092	-0.0111	 0.0113	-0.0054	-0.0032	-0.0024	-0.0103	-0.0048	-0.0022	-0.0190	 0.0059	-0.0034	 0.0057	 0.0089
PC5	 0.0054	 0.0347	-0.0057	 0.0064	-0.0016	-0.0012	 0.0366	 0.0331	 0.0002	 0.0037	 0.0378	 0.0365	 0.0148	 0.0102	 0.0179	-0.0377	-0.0024	 0.0135	-0.0095	 0.0057	 0.0240	 0.0101	 0.0239	 0.0259	 0.0038	 0.0298	-0.0079	-0.0096	 0.0292	 0.0336	 0.0184	-0.0003	-0.0031	 0.0204	-0.0088	 0.0252	 0.0062	-0.0423	 0.0404	-0.0035	 0.0370	-0.0038	 0.0130	-0.0039	 0.0102	 0.0034	-0.0066	 0.0046	 0.0279	-0.0537	 0.0099	 0.0158	-0.0288	 0.0172	 0.0308	 0.0046	 0.0116	-0.0453	-0.0091	 0.0455	 0.0429	 0.0114	-0.0055	-0.0279	 0.0099	 0.0361	-0.0256	-0.0222	 0.0357	 0.0207	 0.0132	 0.0309	 0.0175	 0.0425	 0.0376	-0.0411	 0.0197	 0.0112	-0.0520	-0.0120	-0.0089	 0.0031	 0.0018	-0.0125	 0.0226	 0.0118	 0.0421	 0.0299	 0.0113	 0.0036	 0.0348	 0.0014	 0.0003	 0.0078	 0.0222	 0.0300	-0.0140	 0.0323	-0.0099	 0.0097	 0.0030	-0.0132	-0.0209	 0.0201	 0.0310	 0.0169	-0.0064	-0.0407	 0.0281	 0.0332	 0.0224	 0.0332	 0.0241	 0.0334	-0.0062	-0.0048	 0.0399	 0.0196	 0.0307	 0.0047	 0.0138	 0.0175	 0.0085	 0.0392	 0.0170	 0.0163	 0.0002	 0.0281	 0.0127	-0.0103	 0.0191	 0.0189	-0.0370	 0.0006	 0.0237	 0.0286	-0.0058	-0.0080	 0.0326	-0.0022	 0.0115	-0.0063	-0.0433	-0.0198
InferredCov1	0.0138295907527208	0.0249656122177839	-0.105787642300129	-0.107450284063816	0.0201883986592293	0.0504837818443775	-0.00842007715255022	0.0169561896473169	0.0252797771245241	-0.0180791430175304	-0.10235683619976	0.0290357433259487	0.0246906988322735	0.0453861802816391	0.0421898625791073	-0.0208241939544678	0.00863579288125038	0.0271787717938423	-0.0161174889653921	-0.107861630618572	0.00185105425771326	-0.0208122134208679	0.057815283536911	0.0403019040822983	0.0687538459897041	0.0208953935652971	-0.00344414846040308	0.0317531935870647	0.0799836069345474	-0.0994127541780472	0.0442694239318371	0.0595449730753899	0.0319517850875854	0.00775027880445123	0.0580157041549683	-0.0469395257532597	-0.0232254210859537	0.0025080784689635	0.0369294844567776	0.00460040709003806	0.00433521717786789	-0.0214648824185133	0.0282288007438183	0.0426238067448139	0.0244179200381041	-0.0219169035553932	-0.0341366156935692	-0.0277588423341513	0.0086226724088192	-0.00161938578821719	-0.0568908751010895	0.0467471294105053	0.0133191300556064	0.0147028425708413	-0.0226599425077438	0.0185448955744505	0.0557760000228882	0.0504349209368229	-0.00291161891072989	-0.0438763052225113	0.0530939735472202	0.0547671169042587	-0.0134207019582391	-0.0281960982829332	-0.0430534295737743	0.0078682666644454	0.00742044905200601	0.0299988929182291	0.0318032801151276	0.0122310509905219	-0.00702895503491163	0.00749870762228966	0.0706606507301331	0.00014913990162313	-0.0110507179051638	0.0206131003797054	0.0378029011189938	0.0105586526915431	-0.0181366708129644	0.0371757373213768	-0.0114537123590708	0.0550281181931496	0.0415427386760712	0.0580812059342861	0.0637283846735954	0.0265941210091114	0.0616206340491772	0.030260156840086	0.038419958204031	-0.00886353384703398	0.0362827591598034	0.000639880134258419	-0.0319505594670773	-0.0236783623695374	0.0197855234146118	0.042204175144434	-0.0252291392534971	0.0156447254121304	-0.0183117240667343	-0.0583294704556465	0.0203338153660297	0.0245914366096258	0.0114544006064534	0.0140685476362705	-0.0240660719573498	-0.014700761064887	-0.0571432448923588	0.0310293007642031	0.0329602062702179	0.0366452001035213	-0.0473870560526848	-0.0461241453886032	-0.0243639871478081	0.000438349845353514	0.0245690196752548	-0.0348906964063644	0.0276102852076292	0.0199065431952477	0.022289477288723	0.0520526245236397	0.0168861858546734	0.0472038835287094	-0.0175945144146681	-0.0806421265006065	0.0564577504992485	-0.00274190399795771	-0.122244477272034	-0.00834344420582056	0.0161798372864723	-0.00673291273415089	-0.0262298714369535	-0.100014962255955	-0.00483979424461722	0.0381874740123749	-0.127035811543465	0.0173170063644648	-0.140051677823067	-0.134531646966934	-0.0727925524115562	-0.0821416825056076	-0.108849287033081	0.0392830409109592	-0.108202882111073	0.000888594950083643
InferredCov2	0.069882407784462	-0.064106211066246	-0.0869139954447746	-0.0490170195698738	-0.00394298089668155	-0.0737777575850487	0.0356301069259644	0.0119333621114492	-0.00474021630361676	0.00748270191252232	-0.0507476888597012	0.0282742362469435	0.0524137318134308	-0.0584683492779732	-0.0345113910734653	0.0757683143019676	0.0571150332689285	0.0481142364442348	0.0547249838709831	-0.0492627061903477	0.043838806450367	0.00727655459195375	-0.0116816442459822	-0.0131031731143594	-0.072482168674469	0.0267753563821316	0.0997487753629684	0.0362492427229881	-0.108573213219643	-0.0628207102417946	0.0254393685609102	-0.111987195909023	0.0282080825418234	0.0184843577444553	-0.0490523129701614	-0.0677133947610855	-0.00493812188506126	0.0353612825274467	-0.0348171591758728	-0.00766040151938796	0.0575137957930565	0.0731867775321007	-0.0533953048288822	-0.0626666024327278	0.0586610548198223	0.0485089495778084	-0.0417599305510521	0.0781601816415787	0.0128599172458053	0.0148349367082119	0.0152475712820888	-0.121567599475384	-0.0672600418329239	0.109992958605289	0.0942236632108688	0.0933993384242058	-0.0474965125322342	-0.0688693597912788	0.0390698872506618	-0.0547397173941135	-0.0609143003821373	-0.0368347242474556	0.080067902803421	-0.0644544959068298	-0.0279146526008844	0.0491891503334045	0.0286956913769245	0.0315085984766483	0.0227059032768011	0.0253879800438881	0.0389661751687527	0.0124677876010537	-0.0184797085821629	0.0384219139814377	0.0862830206751823	-0.0320902653038502	-0.00680490816012025	0.0962570905685425	0.0190604869276285	0.0734487473964691	-0.0689699053764343	-0.055543027818203	-0.0950780957937241	-0.0449401251971722	0.0173150096088648	-0.0195528008043766	-0.121244594454765	-0.101986311376095	0.0483045317232609	-0.04179522767663	-0.0616544187068939	0.0661252588033676	-0.0111700743436813	0.0810481384396553	-0.0249063111841679	0.0765003338456154	0.0894226655364037	-0.105558007955551	0.0959576368331909	0.0379487946629524	0.00642927130684257	0.0245274379849434	0.0122617958113551	-0.0780100673437119	0.0974469929933548	-0.0434994362294674	0.0235491953790188	-0.0592838563024998	-0.047196127474308	-0.0398846715688705	0.049667339771986	0.00635939231142402	0.0499887093901634	0.0376431606709957	0.0228471010923386	0.0950928628444672	-0.0365028753876686	0.0461083613336086	-0.00248840264976025	-0.0596710592508316	0.00751534989103675	-0.00383693934418261	0.101994819939137	0.0113070737570524	-0.0733559131622314	0.105360202491283	-0.0952095314860344	0.0489062517881393	0.0283119902014732	0.0427286140620708	0.0744349658489227	0.0384563468396664	0.0675739645957947	-0.0586798526346684	-0.100695990025997	0.0191005934029818	-0.130384922027588	-0.0995848998427391	-0.0546594224870205	-0.0427779033780098	-0.0101333754137158	-0.0655153691768646	-0.0662456452846527	0.117120735347271
InferredCov3	0.0855908989906311	0.0115448068827391	0.028291767463088	0.0664955228567123	-0.0495389364659786	0.012971431016922	-0.125055342912674	-0.0799667313694954	-0.00895478948950768	-0.101018019020557	0.0523794442415237	0.072638176381588	-0.0571763589978218	-0.00937309861183167	-0.086366593837738	0.0183684378862381	0.0429894663393497	-0.00937436055392027	0.119325384497643	0.0954146832227707	-0.0905936658382416	0.182999595999718	0.0569732189178467	0.0785843133926392	0.0136579591780901	0.0351243801414967	-0.0346377715468407	-0.050103172659874	-0.0285625346004963	0.0790705233812332	-0.00807694625109434	-0.0758921727538109	0.0272906012833118	0.0455020256340504	-0.0307020600885153	0.0127733210101724	0.170379966497421	-0.0665807276964188	-0.0156862121075392	-0.0119859399273992	0.00659987470135093	-0.0187411047518253	-0.029018372297287	-0.0244583860039711	0.0127491345629096	-0.014570688828826	0.0310010630637407	-0.0395045466721058	-0.00426767533645034	-0.115669801831245	-0.0758292376995087	-0.0864688530564308	-0.0131239825859666	0.0207056328654289	0.0345221571624279	0.00121060630772263	0.066184937953949	0.0337829887866974	0.0295379627496004	-0.0361249782145023	-0.0290345009416342	0.070506788790226	-0.0685910135507584	0.0471563898026943	0.012058581225574	-0.0237037651240826	-0.0124718984588981	0.0169298835098743	0.0962760969996452	0.00902961846441031	-0.0495561175048351	0.0226737931370735	0.0385778024792671	-0.0603554397821426	-0.0148431295529008	-0.0217020362615585	-0.0934804901480675	-0.0591330751776695	0.0624220930039883	0.0905566439032555	-0.0563433915376663	0.0417588353157043	-0.03647680580616	-0.0241981726139784	0.0399861447513103	-0.0427779257297516	-0.0389861539006233	0.00932986754924059	0.065832756459713	-0.0178415589034557	0.0264943577349186	-0.078903004527092	0.0303876828402281	-0.0944423377513885	0.0748887658119202	0.0422772765159607	-0.0980045050382614	-0.0237796772271395	-0.078871451318264	0.0482824482023716	0.0748842433094978	0.136935591697693	-0.109365098178387	-0.0136334644630551	0.00925981067121029	0.0386934243142605	0.0840313881635666	-0.0202512387186289	0.0326532609760761	0.00973409321159124	0.0540389157831669	-0.0228166244924068	-0.0613877028226852	0.0249120183289051	0.0392646789550781	-0.0592365898191929	-0.00674453191459179	0.0757826268672943	-0.0428419001400471	0.00761448964476585	-0.0090973349288106	0.0148200420662761	-0.010465775616467	0.0405097641050816	0.0079596946015954	0.038176815956831	-0.0360411517322063	-0.00125643762294203	-0.0779995247721672	-0.04263561591506	-0.0684489533305168	0.0040304996073246	0.156192421913147	0.0994489565491676	-0.0220258682966232	-0.0692619159817696	-0.0362118668854237	-0.000548633746802807	-0.0588817521929741	-0.0147634306922555	-0.0439572930335999	-0.0287957787513733	-0.0310284458100796	-0.0183321088552475
InferredCov4	-0.0621173530817032	0.0111591424793005	-0.0633757263422012	-0.0821573659777641	-0.0323096252977848	-0.0552343279123306	0.040044154971838	-0.00527173280715942	-0.072368897497654	-0.082312747836113	-0.081838458776474	0.0306984111666679	-0.0735078901052475	0.0107995178550482	-0.0627661347389221	0.0340778045356274	-0.00646685063838959	-0.0225968584418297	0.0410439632833004	-0.0189652591943741	-0.00263387709856033	0.0520053133368492	-0.0126729374751449	-0.107372082769871	-0.0075188409537077	-0.00260715582408011	-0.0380056835711002	-0.0226667877286673	-0.0387862920761108	-0.0556273646652699	-0.0994105562567711	-0.0235414896160364	-0.0295089576393366	0.0871825367212296	-0.00913774501532316	-0.0514807440340519	0.116235129535198	0.0286616925150156	0.00621530693024397	-0.0298637263476849	0.0130527270957828	0.0112940231338143	0.0567668341100216	0.0508053787052631	-0.0191010870039463	0.113280586898327	-0.0190676283091307	0.0353315994143486	0.0609875470399857	0.0377988442778587	-0.0416200160980225	0.0104192476719618	0.120970822870731	0.0101098194718361	0.0667662620544434	-0.0360320210456848	-0.0394361279904842	0.00160223734565079	0.0545708872377872	0.0861580967903137	0.0266095995903015	-0.0282768793404102	-0.0296290777623653	-0.0462478622794151	-0.0890370309352875	-0.0462301596999168	0.0395213589072227	-0.0250722095370293	-0.00894527696073055	0.0236184746026993	-0.0426186807453632	-0.0531411990523338	-0.0974410474300385	-0.0743166506290436	0.0174800083041191	0.0398722775280476	-0.0144036645069718	-0.0228063110262156	-0.0919999778270721	-0.0587386898696423	0.211478129029274	-0.0552892424166203	0.0474470816552639	0.0266732648015022	-0.114060051739216	-0.0815364494919777	-0.00402761856094003	0.0540204830467701	-0.0751734152436256	0.0575403422117233	0.0313627161085606	0.0475506447255611	0.250385165214539	0.0255239903926849	0.0656366720795631	-0.055325735360384	0.0349235720932484	0.029647558927536	-0.00247363769449294	0.0302524231374264	0.0670225247740746	0.0284205265343189	-0.0381310358643532	0.0600716918706894	0.0303145702928305	0.0749081298708916	-0.0320935733616352	0.0513296164572239	-0.0640002861618996	0.030268020927906	0.0517655871808529	-0.026789054274559	-0.00488772755488753	-0.0055724335834384	-0.0990643128752708	0.0449499674141407	0.0555906631052494	-0.001007339800708	-0.055546198040247	0.0221064258366823	0.00498838350176811	0.0132800117135048	0.00685764756053686	-0.0504329204559326	0.00597728323191404	0.0713131502270699	-0.0230677500367165	0.0506983175873756	-0.0188891123980284	0.0536964237689972	-0.00224495655857027	-0.0635137557983398	0.0532963164150715	0.0267291571944952	-0.0550942048430443	0.0292564947158098	-0.0353848226368427	-0.0123364366590977	-0.0334969386458397	-0.0681231245398521	0.131723344326019	0.0543248504400253	-0.0315782204270363	-0.0283148270100355
InferredCov5	0.0155530357733369	0.0274839736521244	-0.0224357154220343	0.0336080454289913	-0.0780410766601562	-0.0306503400206566	-0.0615943968296051	-0.0354016721248627	0.11259838193655	0.0950824469327927	0.0371346585452557	0.108581013977528	-0.0210723709315062	0.12803415954113	-0.0457216501235962	0.0461066477000713	0.0539992637932301	-0.0574170500040054	-0.0308779031038284	0.0191248133778572	-0.0200250577181578	-0.0784435719251633	-0.00410145195201039	-0.0654889419674873	-0.0507397092878819	0.0219489056617022	0.0513400100171566	-0.0561352334916592	-0.0420641675591469	-0.0339370556175709	0.0192328933626413	-0.00526666035875678	0.0852548182010651	0.0346026122570038	0.0176047757267952	-0.0568566061556339	-0.101547531783581	0.0126781594008207	-0.00185549410525709	0.0979616269469261	-0.00640468206256628	0.00258451420813799	0.0696637555956841	0.0365490652620792	-0.0394477993249893	-0.0570403225719929	0.0319190956652164	-0.0251041240990162	0.104468978941441	-0.0569644942879677	-0.0383019968867302	0.0450379028916359	-0.0302370637655258	0.0663738623261452	0.170113950967789	-0.0143377650529146	-0.00776066770777106	0.0320959351956844	-0.0363381877541542	0.123709119856358	-0.0123333754017949	0.075641892850399	-0.0515681840479374	-0.00894471537321806	-0.0385373085737228	0.0107255848124623	-0.0544027835130692	-0.00386919034644961	0.0180234629660845	0.09152552485466	-0.0810893177986145	0.191924512386322	-0.0121566141024232	0.00246752821840346	-0.0417258962988853	0.0695808529853821	-0.0125498166307807	0.0449382215738297	0.0561118759214878	0.0395781323313713	0.0608584359288216	0.00803968217223883	-0.00628528743982315	0.0146036371588707	-0.085405245423317	0.00755570316687226	-0.0143771776929498	-0.0093219792470336	-0.0678547993302345	-0.00149083288852125	0.0244357138872147	-0.00584250781685114	-0.0129174124449492	0.0199050102382898	0.0239798631519079	0.0337419845163822	-0.0491255186498165	-0.0130658717826009	0.0434720814228058	0.0761400163173676	0.00814177095890045	0.0112819653004408	-0.0790224224328995	0.0359079539775848	-0.0683886185288429	-0.277510643005371	0.150983884930611	0.0214832164347172	0.0208056457340717	-0.00500302528962493	-0.0429078750312328	-0.0100991008803248	0.0453448966145515	0.0765766799449921	0.0193064231425524	-0.0407526977360249	0.0443302243947983	-0.0850941091775894	-0.136568158864975	-0.0504417531192303	0.0372656472027302	0.0119202416390181	-0.0583011545240879	-0.028068732470274	-0.0618910454213619	0.0663598999381065	-0.00735851330682635	-0.064618706703186	-0.0078338086605072	0.00146191590465605	-0.0251386854797602	-0.0777541249990463	-0.120813369750977	-0.107941247522831	0.0663231089711189	-0.0167190544307232	-0.0442880801856518	-0.0292614661157131	-0.0137859024107456	0.00785168260335922	0.0338080003857613	-0.00107773940544575	0.0263028796762228	-0.0412149466574192
