AAR2,AASS,AATF,ABCC1,ACAD9,ACADM,ACSL3,ADAM9,ADAMTS1,AGPS,AKAP8,AKAP8L,AKAP9,ALG11,ALG5,ALG8,ANO6,AP2A2,AP2M1,AP3B1,ARF6,ARL6IP6,ATE1,ATP13A3,ATP1B1,ATP5L,ATP6AP1,ATP6V1A,BAG5,BCKDK,BCS1L,BRD2,BRD4,BZW2,C1orf50,CCDC86,CDK5RAP2,CENPF,CEP112,CEP135,CEP250,CEP350,CEP68,CHMP2A,CHPF,CHPF2,CISD3,CIT,CLCC1,CLIP4,CNTRL,COL6A1,COLGALT1,COMT,COQ8B,CRTC3,CSDE1,CSNK2A2,CSNK2B,CUL2,CWC27,CYB5B,CYB5R3,DCAF7,DCAKD,DCTPP1,DDX10,DDX21,DNAJC11,DNAJC19,DNMT1,DPH5,DPY19L1,ECSIT,EDEM3,EIF4E2,EIF4H,ELOB,ELOC,EMC1,ERC1,ERGIC1,ERLEC1,ERMP1,ERO1B,ERP44,ETFA,EXOSC2,EXOSC3,EXOSC5,EXOSC8,F2RL1,FAM162A,FAM8A1,FAM98A,FAR2,FASTKD5,FBLN5,FBN1,FBN2,FBXL12,FKBP10,FKBP15,FKBP7,FOXRED2,FYCO1,G3BP1,G3BP2,GCC1,GCC2,GDF15,GFER,GGCX,GGH,GHITM,GIGYF2,GLA,GNB1,GNG5,GOLGA2,GOLGA3,GOLGA7,GOLGB1,GORASP1,GPAA1,GPX1,GRIPAP1,GRPEL1,GTF2F2,HDAC2,HEATR3,HECTD1,HMOX1,HOOK1,HS2ST1,HS6ST2,HSBP1,HYOU1,IDE,IL17RA,IMPDH2,INHBE,INTS4,ITGB1,JAKMIP1,LARP1,LARP4B,LARP7,LMAN2,LOX,MAP7D1,MARK1,MARK2,MARK3,MAT2B,MDN1,MEPCE,MFGE8,MIB1,MIPOL1,MOGS,MOV10,MPHOSPH10,MRPS2,MRPS25,MRPS27,MRPS5,MTCH1,MYCBP2,NARS2,NAT14,NDFIP2,NDUFAF1,NDUFAF2,NDUFB9,NEK9,NEU1,NGDN,NGLY1,NIN,NINL,NLRX1,NOL10,NPC2,NPTX1,NSD2,NUP210,NUP214,NUP54,NUP58,NUP62,NUP88,NUP98,NUTF2,OS9,PABPC1,PABPC4,PCNT,PCSK6,PDE4DIP,PDZD11,PIGO,PIGS,PITRM1,PKP2,PLAT,PLD3,PLEKHA5,PLEKHF2,PLOD2,PMPCA,PMPCB,POFUT1,POGLUT2,POGLUT3,POLA1,POLA2,POR,PPIL3,PPT1,PRIM1,PRIM2,PRKACA,PRKAR2A,PRKAR2B,PRRC2B,PSMD8,PTBP2,PTGES2,PUSL1,PVR,QSOX2,RAB10,RAB14,RAB18,RAB1A,RAB2A,RAB5C,RAB7A,RAB8A,RAE1,RALA,RAP1GDS1,RBM28,RBM41,RBX1,RDX,REEP5,REEP6,RETREG3,RHOA,RIPK1,RNF41,RPL36,RRP9,RTN4,SAAL1,SBNO1,SCAP,SCARB1,SCCPDH,SDF2,SELENOS,SEPSECS,SIGMAR1,SIL1,SIRT5,SLC25A21,SLC27A2,SLC30A6,SLC30A7,SLC30A9,SLC44A2,SLC9A3R1,SLU7,SMOC1,SNIP1,SPART,SRP19,SRP54,SRP72,STC2,STOM,STOML2,SUN2,TAPT1,TARS2,TBCA,TBK1,TBKBP1,TCF12,THTPA,TIMM10,TIMM10B,TIMM29,TIMM8B,TIMM9,TLE1,TLE3,TLE5,TM2D3,TMED5,TMEM39B,TMEM97,TOMM70,TOR1A,TOR1AIP1,TRIM59,TRMT1,TUBGCP2,TUBGCP3,TYSND1,UBAP2,UBAP2L,UBXN8,UGGT2,UPF1,USP13,USP54,VPS11,VPS39,WASHC4,WFS1,YIF1A,ZC3H18,ZC3H7A,ZDHHC5,ZNF318,ZNF503,ZYG11B
Nerve...Tibial,11,1,7,31,15,16,30,14,7,7,8,15,8,11,2,6,15,18,16,8,23,8,15,10,44,38,29,36,18,7,4,15,12,8,3,9,7,31,7,16,23,7,11,11,19,33,10,7,5,2,6,18,12,3,2,9,9,20,12,12,8,13,8,6,21,9,6,12,9,5,11,7,21,23,9,26,8,3,18,8,10,23,12,33,27,13,12,6,9,4,7,47,32,14,18,28,37,9,10,9,16,9,18,7,20,10,9,31,16,10,17,25,11,31,31,11,13,23,16,23,27,13,18,20,7,15,35,14,1,11,9,9,24,49,14,30,25,18,20,17,11,6,4,13,38,6,15,10,23,9,13,20,32,26,34,4,20,7,7,15,26,29,4,20,21,8,8,13,15,9,24,14,6,11,25,10,28,3,22,21,41,15,9,11,42,28,45,19,10,14,29,20,15,9,10,24,15,14,28,6,21,8,7,15,7,5,17,35,19,20,7,19,7,11,11,2,24,22,7,21,16,16,25,9,21,13,14,10,27,33,5,29,7,10,28,20,9,11,3,26,16,5,3,3,14,5,3,13,32,35,5,22,18,24,3,25,5,25,22,11,3,17,6,8,7,15,18,15,49,8,12,5,2,28,7,12,21,9,22,9,8,22,11,9,4,11,4,6,18,28,5,4,9,17,16,11,11,1,21,10,20,15,20,9,16,11,12,47,7,20,6,31,8,12,15,5,28,14,4,14,17,5,24,5,15,8,26,12,13,9
Skin...Not.Sun.Exposed..Suprapubic.,12,28,9,24,1,46,37,34,31,42,9,33,4,25,26,38,26,35,38,21,3,3,35,37,33,37,20,14,6,2,14,24,7,4,34,10,16,6,44,24,14,19,19,10,38,21,45,32,30,6,28,24,16,13,25,21,22,3,3,30,30,35,19,43,28,8,18,8,21,46,25,21,45,24,39,32,15,39,40,23,23,32,39,10,47,29,25,9,34,3,27,1,12,28,39,29,10,22,22,33,25,25,9,29,19,18,5,38,5,40,35,45,30,8,44,8,28,35,29,6,18,21,20,33,26,39,33,12,2,17,23,10,9,6,30,35,42,46,2,14,5,36,26,26,42,18,6,33,29,13,19,40,3,34,29,9,19,21,31,36,16,4,21,7,39,11,43,28,7,29,41,1,46,42,41,33,27,14,35,20,46,3,12,22,24,37,35,16,20,28,21,15,21,24,17,9,27,17,9,28,35,26,11,30,24,41,37,12,2,46,9,17,24,32,23,16,28,14,28,42,7,18,36,16,45,19,8,40,33,2,38,10,4,2,11,31,30,31,16,10,6,15,35,20,29,23,46,33,22,4,22,5,41,4,10,23,26,22,3,12,43,26,24,11,9,19,41,41,22,14,17,39,19,26,29,35,10,38,36,27,11,20,23,16,17,40,21,41,38,45,23,47,34,32,5,14,20,29,4,40,40,39,25,14,30,25,35,14,23,17,14,3,6,19,40,36,16,33,15,25,16,24,33,28,22,31,3,23,37,35
Breast...Mammary.Tissue,13,11,14,22,16,18,22,16,11,15,7,26,9,9,8,8,11,22,25,10,15,10,12,13,40,25,31,31,14,18,19,20,17,11,22,11,19,17,11,14,40,18,4,16,34,15,18,37,17,24,19,15,13,17,30,13,11,19,14,14,18,10,7,28,27,4,11,5,20,17,12,11,23,21,13,31,17,32,22,14,19,16,15,32,28,12,9,10,19,14,11,24,44,24,35,16,29,11,13,29,13,19,16,12,28,20,12,27,6,11,13,31,13,21,29,13,11,22,14,16,28,22,9,12,11,8,37,13,24,18,21,16,23,29,15,25,31,27,21,8,9,32,12,12,39,28,18,13,16,7,23,26,28,28,15,25,24,9,13,18,21,20,11,13,35,16,31,31,12,10,35,27,21,16,26,17,12,12,12,16,30,18,8,12,40,30,37,9,11,19,19,11,10,30,8,12,16,27,31,23,25,12,13,23,11,15,25,20,4,14,29,14,10,14,14,11,20,10,21,22,11,10,24,13,7,20,7,16,42,22,26,34,18,15,23,10,11,8,10,17,20,10,29,6,20,25,21,15,15,26,9,10,22,10,5,12,12,34,26,7,32,13,14,10,20,18,16,18,28,9,14,25,11,30,14,26,13,15,11,19,9,2,6,14,12,21,19,17,12,25,13,11,12,25,29,20,7,12,13,31,26,10,16,33,17,10,13,37,12,27,16,11,19,14,24,10,18,10,34,19,22,9,18,13,18,11,14,18,24,23
Adipose...Visceral..Omentum.,14,13,17,15,19,24,33,10,5,12,13,34,30,12,9,5,6,17,21,12,10,7,20,6,45,22,34,28,10,16,30,13,14,19,29,4,32,22,3,10,42,20,9,20,25,23,17,38,20,19,10,11,2,21,26,14,15,13,15,20,21,14,6,35,36,23,17,2,32,28,17,20,10,32,8,30,25,38,11,13,18,15,20,26,21,9,6,14,11,24,18,37,45,23,22,15,12,7,5,31,12,13,11,11,33,22,3,28,11,27,14,41,5,22,30,23,2,19,9,22,23,18,21,22,21,1,29,5,30,21,5,23,7,34,7,37,29,23,24,6,16,35,16,11,33,21,21,16,10,5,21,23,35,15,23,33,21,11,16,22,23,17,18,18,27,22,15,26,13,20,38,29,33,15,43,15,9,15,13,18,29,20,7,8,37,33,38,18,12,8,20,13,7,23,9,8,10,37,30,29,28,24,22,26,22,4,22,34,13,4,30,20,14,7,8,18,30,7,29,20,19,21,21,17,1,23,5,27,44,31,12,13,21,17,27,5,12,7,7,13,24,11,33,7,26,32,14,26,34,33,8,6,15,12,4,6,22,33,31,5,26,14,8,22,16,11,23,19,13,5,5,38,16,31,27,37,14,14,10,25,12,10,1,22,14,33,40,16,14,17,16,14,14,23,32,18,10,4,18,37,24,1,13,35,22,7,14,39,6,30,20,13,25,13,8,15,17,13,43,24,28,7,16,17,17,16,11,21,15,26
Prostate,15,17,28,10,22,37,4,20,17,40,18,8,28,23,19,22,19,25,18,27,20,25,14,28,38,21,28,40,36,10,2,22,19,20,18,5,18,27,19,29,10,28,22,21,11,9,9,39,14,27,27,14,22,14,5,18,19,27,28,34,24,9,20,22,9,6,25,30,33,12,33,8,33,12,20,19,26,19,36,20,22,4,16,23,38,24,28,8,15,23,15,19,7,30,25,40,32,24,19,10,14,12,21,19,23,13,21,18,25,7,2,13,16,40,45,27,30,38,21,14,12,33,6,13,9,12,27,38,25,29,28,27,45,24,31,18,16,20,8,19,15,7,11,19,18,35,12,20,15,20,25,34,9,22,24,40,27,19,22,5,9,5,19,4,20,12,32,16,32,11,21,25,32,17,36,20,8,26,15,28,11,13,17,26,26,34,28,31,23,16,17,26,18,25,21,20,21,26,46,34,12,13,29,19,12,14,24,14,29,26,15,18,19,19,15,21,14,23,20,30,30,2,30,20,31,25,16,29,11,8,15,36,26,21,20,25,18,37,30,28,30,38,39,24,23,29,27,21,6,6,28,24,7,6,13,30,21,18,25,28,13,15,19,32,19,16,20,11,12,19,20,21,31,27,34,6,18,21,7,20,25,13,22,23,18,34,25,19,22,18,18,6,18,14,18,12,15,26,7,13,32,25,14,25,25,15,15,23,4,14,33,10,21,22,29,21,11,20,16,23,13,23,25,12,28,20,15,20,10,20
Lung,16,12,19,8,27,40,13,3,9,17,20,23,20,16,17,27,5,16,24,20,14,17,25,9,27,30,5,24,23,30,27,19,10,18,38,30,26,20,15,12,41,23,27,18,15,8,21,27,19,16,14,17,8,11,18,12,14,18,17,23,25,7,14,4,39,30,27,6,35,30,7,25,7,30,7,20,21,35,15,19,24,7,9,21,29,7,23,29,27,44,19,13,46,18,34,10,11,5,14,34,17,14,2,15,31,15,7,24,23,12,6,26,3,23,33,21,1,15,2,17,16,30,24,10,17,5,14,22,31,23,7,22,2,31,16,31,20,17,22,4,19,24,19,8,22,26,2,21,8,8,14,33,16,3,16,35,30,14,20,21,5,13,28,32,18,31,12,11,27,22,28,21,39,29,35,23,6,21,14,13,27,24,25,1,21,20,13,30,22,5,23,30,12,17,7,16,11,28,27,12,33,23,16,21,34,13,10,25,7,16,28,30,17,13,13,20,10,5,25,11,24,25,27,23,27,24,17,33,41,24,2,26,23,12,29,6,20,6,8,15,37,2,30,25,31,13,10,18,44,23,7,13,19,26,17,13,29,36,34,30,36,12,7,20,26,10,30,30,20,15,2,27,6,33,28,42,22,17,16,10,16,5,2,33,9,14,32,25,6,24,17,25,29,19,27,29,29,35,10,18,23,2,18,10,36,13,16,25,25,16,21,35,20,10,18,17,20,15,18,22,21,13,10,11,19,7,13,24,12,25
Ovary,17,2,16,28,23,11,36,28,1,28,14,22,2,17,25,12,12,28,20,34,40,16,23,24,25,9,33,45,44,19,6,14,11,23,16,23,11,29,16,6,18,14,8,34,2,30,33,47,8,7,20,8,20,8,14,6,12,17,11,26,10,28,13,37,19,34,7,18,16,4,34,2,29,5,34,22,16,37,31,7,26,26,17,25,24,30,33,5,17,10,6,43,5,12,15,47,19,13,9,20,10,7,31,2,5,9,10,32,19,6,29,46,10,41,37,15,22,33,34,19,17,29,17,35,10,35,30,21,19,8,46,17,3,47,10,1,13,29,31,36,1,37,13,15,26,12,32,14,27,15,40,41,46,12,11,6,6,12,8,4,31,16,7,5,12,6,13,23,16,3,17,43,17,10,37,8,30,5,26,29,1,42,26,14,36,45,48,25,15,6,26,31,14,27,14,14,5,13,18,41,26,9,37,6,5,22,9,5,38,12,18,10,9,5,6,5,9,9,3,31,10,17,2,24,9,6,30,24,36,27,14,19,30,30,26,32,31,34,26,32,23,26,40,5,30,38,5,25,27,28,19,34,25,1,9,33,11,19,15,4,21,6,28,19,12,23,11,5,48,17,30,10,46,47,30,40,25,3,37,31,13,47,31,11,13,26,17,5,28,4,11,5,38,13,35,30,6,15,31,19,7,19,9,6,9,28,8,32,5,8,8,32,18,11,1,13,32,6,32,17,34,15,3,19,24,15,31,15,2,10
Testis,18,39,18,14,28,10,20,39,41,10,35,9,45,13,35,2,30,31,36,33,32,14,21,48,32,43,45,22,1,39,45,23,23,32,1,1,5,2,1,4,3,1,41,45,6,38,36,17,45,29,2,37,40,38,39,23,17,2,2,1,3,37,24,15,34,43,3,21,17,43,4,28,4,40,41,3,38,1,1,16,28,46,14,16,8,38,31,47,3,9,4,41,21,13,1,23,4,25,23,2,30,34,49,17,15,35,25,10,1,35,47,7,45,2,2,1,48,44,15,30,34,28,37,24,31,43,43,2,7,2,11,25,19,1,28,7,8,1,5,48,33,8,40,35,12,25,20,26,7,34,44,12,48,18,42,10,1,31,25,1,36,9,34,37,17,36,34,46,33,15,27,13,1,9,2,24,49,27,1,48,19,39,2,34,16,2,17,1,25,3,2,1,1,5,49,23,4,2,6,36,45,14,28,10,15,30,42,29,20,39,5,24,27,46,48,28,6,32,15,43,2,11,12,2,14,44,2,17,38,10,30,12,42,43,38,27,36,45,47,33,1,40,21,21,1,31,19,48,1,1,44,48,28,43,25,42,3,1,14,20,1,33,3,23,36,1,17,1,25,31,49,44,15,38,8,2,2,26,21,1,31,33,45,18,45,8,5,37,3,16,32,1,2,38,1,3,16,31,25,48,31,30,11,1,28,45,21,2,40,23,15,1,1,18,3,14,14,8,30,40,37,45,17,18,1,48,7,2,43,17
Adrenal.Gland,19,30,34,25,9,5,26,23,24,21,28,3,19,24,15,4,21,27,4,28,31,24,24,21,29,7,13,7,43,4,8,27,32,33,20,12,33,28,28,40,39,36,43,6,17,6,4,14,23,44,36,31,30,1,8,24,37,28,26,32,36,1,12,41,1,31,29,31,3,1,36,5,18,18,24,36,35,31,19,35,21,3,13,4,32,27,4,33,10,13,31,28,9,35,24,42,5,21,26,3,29,8,28,23,12,30,31,35,24,29,21,30,21,35,3,20,4,37,36,28,36,39,8,37,6,6,12,1,12,28,15,24,15,17,1,27,10,33,18,24,28,38,15,31,34,17,23,30,28,28,45,38,37,4,21,31,5,27,41,25,22,3,37,3,29,15,24,5,43,6,22,24,2,24,47,19,1,32,25,46,5,17,11,10,12,41,20,37,34,31,13,27,33,36,32,32,26,39,39,48,22,6,34,5,45,10,12,1,32,15,4,5,29,26,25,44,36,2,14,35,40,33,3,14,3,27,33,41,7,11,9,25,28,26,3,13,35,18,29,23,31,9,43,29,17,33,1,8,3,17,23,30,24,7,15,16,34,40,1,1,4,2,11,26,14,3,45,22,4,20,8,12,44,3,38,30,30,13,14,18,34,48,26,8,49,5,2,4,8,31,30,2,28,10,23,5,27,19,43,12,34,12,32,7,37,14,24,41,27,12,26,8,4,26,4,23,26,3,44,11,20,20,37,24,41,22,28,31,5,24
Thyroid,20,20,26,5,12,13,29,12,15,24,19,7,22,10,3,10,18,38,26,6,26,27,7,4,3,8,15,16,19,25,5,7,21,6,31,26,22,39,17,22,37,26,20,8,10,10,6,36,10,4,34,25,29,27,15,15,16,23,19,21,20,15,21,21,15,11,22,17,26,8,30,9,27,14,14,17,24,21,30,17,17,13,7,3,5,8,22,23,21,27,17,11,26,21,12,33,8,14,12,11,19,10,22,16,26,11,18,17,31,13,18,19,6,44,20,19,26,36,11,12,24,35,11,8,3,17,23,37,23,25,38,2,27,15,18,38,4,5,14,28,21,19,21,14,25,2,7,12,5,12,32,24,17,9,6,11,4,20,17,13,10,28,12,11,1,10,10,1,28,7,16,26,12,22,10,14,3,18,23,32,9,11,18,2,38,17,16,22,18,12,32,5,19,28,12,30,20,16,37,21,10,2,14,11,49,16,27,21,26,2,12,15,8,16,17,24,26,3,17,32,37,24,26,18,42,21,21,26,8,29,11,7,11,18,13,9,13,9,13,30,33,29,38,16,2,10,6,2,31,37,16,15,21,29,16,32,24,15,23,35,18,9,16,14,23,6,8,13,17,10,15,8,18,39,12,27,29,16,5,16,17,7,14,15,29,9,13,15,25,29,21,8,15,16,30,15,17,30,28,11,12,11,12,44,18,12,11,28,21,13,24,14,10,17,9,9,19,5,3,18,15,17,9,7,20,9,6,9,22,8
Brain...Spinal.cord..cervical.c.1.,21,15,15,33,43,21,15,24,27,1,38,30,37,28,6,9,35,29,32,18,27,6,22,36,4,44,9,20,17,42,38,33,42,45,9,25,12,34,21,23,32,12,31,14,46,46,46,18,11,8,15,47,33,4,40,11,20,33,29,19,12,18,22,5,8,35,36,28,41,25,29,22,1,46,30,37,9,17,16,34,32,42,18,1,14,32,41,36,29,5,14,34,29,11,6,30,42,38,29,38,39,42,19,32,22,25,27,14,37,34,32,20,26,39,47,32,24,11,35,31,35,1,31,14,19,23,19,28,18,15,30,31,12,37,37,22,1,30,37,12,29,45,14,16,13,33,33,15,37,31,2,22,29,31,36,12,38,28,18,23,38,38,17,48,41,35,25,9,29,32,25,9,7,25,17,28,48,22,37,40,18,38,31,3,20,12,27,26,27,30,37,35,40,14,41,28,36,43,1,15,7,16,39,35,37,25,32,39,24,25,46,39,35,29,33,17,12,44,5,12,22,28,35,32,30,39,38,6,47,34,41,28,3,5,4,38,21,20,5,18,35,3,1,32,25,2,2,14,21,47,11,40,37,37,35,1,27,20,35,16,2,32,9,7,30,32,29,25,35,28,32,11,7,20,11,4,37,4,28,11,23,26,30,46,10,4,31,14,24,44,8,7,16,21,36,28,26,38,41,42,22,14,34,11,40,33,20,4,34,39,19,39,40,41,6,18,33,26,2,27,36,10,42,21,34,30,39,34,36,30
Cells...EBV.transformed.lymphocytes,22,48,2,11,17,1,39,43,48,6,21,25,26,2,10,3,17,44,46,9,6,2,19,7,37,1,48,17,22,15,7,12,22,49,2,6,17,1,48,3,5,4,32,27,44,26,48,9,7,33,1,48,36,39,27,19,13,4,6,5,1,2,41,1,12,1,2,3,2,15,1,3,42,26,29,7,6,41,3,15,48,33,27,7,3,5,2,2,2,1,1,49,1,49,4,26,6,48,36,49,11,48,13,34,14,32,2,4,9,4,9,9,47,7,25,14,5,18,3,33,10,25,25,48,41,13,10,6,6,4,14,32,35,13,2,47,46,3,17,45,3,2,1,42,14,3,1,1,20,48,43,46,40,32,4,2,18,49,6,46,4,2,1,2,8,2,3,44,4,1,23,22,15,12,28,16,37,9,2,1,48,29,3,35,30,1,1,20,3,1,1,2,22,6,42,4,6,7,44,47,19,11,5,29,42,47,46,49,1,48,1,1,20,15,19,1,1,48,1,36,1,3,48,38,49,16,19,36,10,16,49,5,37,35,47,34,47,44,40,1,7,13,34,8,5,1,12,45,48,20,17,49,30,2,1,46,1,5,45,2,12,40,30,3,42,22,12,48,26,3,4,15,23,32,15,38,9,49,3,2,2,4,46,2,41,43,1,2,1,48,14,13,1,8,2,4,1,49,20,24,11,7,4,4,3,29,36,1,8,31,2,5,2,5,26,19,30,24,45,37,24,6,48,29,9,1,27,1,48,47
Stomach,23,21,20,12,30,34,5,8,21,39,27,24,12,15,12,20,32,36,42,23,19,31,44,16,5,26,23,29,29,20,20,21,31,10,42,27,29,11,39,28,31,24,29,23,20,12,16,19,21,46,21,26,24,22,12,40,34,15,21,33,43,38,29,29,42,27,26,19,22,34,18,27,34,11,6,25,28,42,44,30,40,6,25,12,2,10,27,24,23,37,23,6,17,39,41,38,33,28,28,13,27,30,25,24,30,29,23,29,8,20,5,23,20,26,26,25,20,39,24,18,21,38,19,23,14,34,28,29,40,27,19,26,40,8,32,23,38,14,23,18,26,26,23,27,24,32,9,34,14,24,46,37,23,5,26,24,33,33,23,11,2,23,31,23,24,32,28,33,37,19,32,23,40,37,24,34,10,29,16,15,16,30,23,25,27,23,14,21,24,24,30,18,23,42,15,15,7,38,21,42,43,3,25,31,9,17,38,15,12,17,24,16,30,28,27,27,11,29,31,38,14,22,45,27,34,33,35,43,28,13,20,18,33,33,35,17,39,21,41,19,32,34,37,23,32,40,42,36,35,13,27,21,42,23,30,44,18,32,29,42,33,27,20,9,22,17,40,6,27,21,13,32,14,8,37,33,24,42,31,14,20,24,39,28,31,38,26,29,26,38,24,20,44,12,25,43,25,28,15,35,37,26,29,3,35,30,23,24,26,24,25,20,23,29,12,26,21,47,24,28,26,29,39,23,27,26,25,29,19,44
Vagina,24,18,24,19,21,17,16,17,18,26,23,28,29,27,23,28,20,32,22,15,5,12,18,25,30,19,36,27,21,26,13,29,18,12,25,19,30,10,18,17,26,25,16,26,22,27,27,31,24,14,25,13,19,7,24,20,23,22,20,27,19,20,16,36,24,22,16,13,25,21,27,14,32,17,27,33,22,23,28,21,15,25,21,8,41,17,17,22,12,16,21,10,3,34,37,27,35,17,16,14,20,11,23,14,25,17,15,33,35,31,20,43,19,12,36,22,23,32,28,8,25,31,26,29,30,19,40,31,8,16,29,8,22,18,23,20,22,40,16,27,10,16,18,20,27,23,16,18,21,14,27,17,6,27,22,32,37,13,11,10,30,15,16,22,25,21,19,22,19,13,29,5,35,18,29,25,36,20,24,27,12,5,16,21,34,35,42,24,17,20,27,24,24,29,18,7,18,21,36,31,14,28,32,24,17,19,29,6,23,24,31,27,22,17,9,15,17,18,22,34,15,20,29,22,36,31,23,19,20,7,29,41,2,13,15,16,8,29,18,27,22,7,36,22,15,20,25,24,26,14,20,25,29,9,11,31,16,28,28,27,44,22,23,31,15,29,35,14,19,23,25,24,17,6,33,28,27,20,26,28,18,18,15,24,21,37,22,20,23,26,15,30,36,31,17,7,24,11,12,20,33,32,8,27,20,31,18,18,14,29,23,12,13,21,30,25,23,28,20,31,31,18,28,25,26,27,5,22,14,22
Colon...Transverse,25,35,29,27,31,23,32,18,23,11,24,38,11,18,21,36,23,21,29,22,11,23,17,22,20,12,37,33,27,36,26,31,33,17,36,29,37,7,30,25,29,31,28,22,43,19,2,24,29,40,26,12,18,41,34,25,24,26,30,31,29,16,25,11,37,2,30,26,4,35,24,32,26,16,15,13,29,27,42,25,30,21,31,17,42,19,8,28,25,36,29,3,4,17,40,1,30,26,21,12,18,21,27,21,42,21,24,22,27,16,10,3,33,4,11,33,21,31,18,25,14,37,22,15,34,33,38,36,20,22,16,30,21,14,34,26,34,26,25,30,25,21,28,17,23,42,24,19,24,22,37,35,12,36,18,39,34,26,35,9,19,26,32,26,9,30,9,38,41,26,31,16,45,27,15,27,18,28,19,35,24,28,28,27,8,5,18,28,21,32,22,28,25,35,19,21,30,36,10,37,31,21,21,36,4,8,39,33,18,13,32,22,16,25,20,23,19,27,36,37,18,13,37,21,29,37,34,14,16,32,25,32,24,24,37,21,37,25,33,9,29,16,32,34,22,42,44,41,36,32,25,16,32,27,28,36,15,27,18,29,24,23,12,12,21,31,26,32,5,26,24,30,39,25,40,41,26,36,34,32,30,23,20,17,28,35,39,34,32,39,28,36,41,20,28,26,30,21,16,27,35,24,31,17,26,26,22,17,30,28,29,18,24,31,35,31,24,35,25,32,33,27,35,26,25,28,24,28,27,27
Spleen,26,45,22,17,32,30,44,27,44,32,10,14,34,29,27,35,36,3,31,30,13,19,40,32,41,28,11,19,31,27,9,16,20,27,30,33,23,9,23,9,2,33,37,32,47,7,40,12,39,42,4,30,7,40,35,38,38,31,23,24,35,31,43,10,43,5,34,23,7,33,10,13,19,39,32,18,34,40,38,31,45,22,29,46,17,26,30,11,20,17,10,22,48,43,30,3,7,12,27,15,24,24,1,40,18,31,20,30,10,30,25,21,34,29,43,30,10,29,12,41,26,34,34,27,28,7,9,9,34,33,1,34,1,36,22,39,35,28,36,2,30,11,9,24,17,36,14,22,22,29,29,44,11,20,2,37,3,39,46,45,6,10,29,21,19,25,20,34,18,31,36,45,25,45,45,21,20,24,4,3,34,21,29,18,17,19,2,2,28,37,10,14,26,38,25,25,24,23,2,26,32,25,17,37,40,48,13,47,5,45,11,35,32,24,30,31,4,20,12,1,5,15,10,40,25,35,31,32,18,30,43,6,31,28,40,41,44,22,31,12,18,37,19,30,45,17,31,42,47,7,21,19,26,17,21,41,17,38,24,33,46,25,25,18,41,33,10,46,36,24,21,46,5,19,24,3,17,33,17,26,26,3,24,30,22,31,8,33,15,11,42,34,17,30,22,19,32,10,11,15,28,21,24,45,42,23,26,6,2,22,17,17,35,28,7,43,22,34,46,21,19,12,31,34,14,17,30,17,28,41
Minor.Salivary.Gland,27,26,38,32,33,41,2,7,30,19,30,42,13,19,7,23,16,39,44,16,25,34,36,18,8,42,22,21,24,28,28,35,34,24,46,34,9,37,36,37,38,37,21,28,14,16,47,35,18,38,33,29,31,23,37,35,28,30,37,41,45,40,26,31,33,20,38,27,38,32,40,35,40,28,12,39,32,36,45,41,36,19,11,9,23,20,34,34,32,43,32,7,47,38,38,32,34,23,25,44,36,26,24,22,38,23,29,37,18,23,15,17,23,17,46,29,31,41,31,15,31,40,15,16,29,29,42,45,32,34,34,28,37,7,35,24,18,21,26,26,27,41,30,21,35,34,31,32,19,25,42,30,10,46,32,45,40,23,30,17,11,24,26,34,42,41,41,37,39,25,45,18,43,38,42,41,4,34,33,42,32,23,24,17,43,36,23,34,29,40,33,32,29,43,6,11,28,42,34,38,42,10,36,28,3,28,35,16,25,34,39,28,26,33,24,32,34,37,42,33,26,27,41,29,24,34,36,39,25,9,31,42,35,34,36,24,28,38,38,29,42,35,42,35,16,46,32,17,20,18,32,23,45,19,36,39,30,43,39,17,41,21,15,29,32,26,34,9,29,27,7,34,37,5,42,24,31,40,30,8,28,40,27,38,27,41,41,38,36,36,20,32,46,34,34,42,31,18,23,23,36,22,36,43,38,37,31,31,39,36,35,16,31,32,45,22,29,27,7,36,35,25,41,27,39,29,20,33,25,43
