"external_gene_name","ensembl_gene_id","gene_biotype","entrezgene_id","chromosome_name","Bait"
"EIF4E2","ENSG00000135930","protein_coding",9470,"2","SARS-CoV2 nsp2"
"EIF4H","ENSG00000106682","protein_coding",7458,"7","SARS-CoV2 nsp9"
"ELOB","ENSG00000103363","protein_coding",6923,"16","SARS-CoV2 orf10"
"ELOC","ENSG00000154582","protein_coding",6921,"8","SARS-CoV2 orf10"
"EMC1","ENSG00000127463","protein_coding",23065,"1","SARS-CoV2 orf8"
"ERC1","ENSG00000082805","protein_coding",23085,"12","SARS-CoV2 nsp13"
"ERGIC1","ENSG00000113719","protein_coding",57222,"5","SARS-CoV2 nsp10"
"ERLEC1","ENSG00000068912","protein_coding",27248,"2","SARS-CoV2 orf8"
"ERMP1","ENSG00000099219","protein_coding",79956,"9","SARS-CoV2 orf9c"
"ERO1B","ENSG00000086619","protein_coding",56605,"1","SARS-CoV2 orf8"
"ERP44","ENSG00000023318","protein_coding",23071,"9","SARS-CoV2 orf8"
"ETFA","ENSG00000140374","protein_coding",2108,"15","SARS-CoV2 M"
"EXOSC2","ENSG00000130713","protein_coding",23404,"9","SARS-CoV2 nsp8"
"EXOSC3","ENSG00000107371","protein_coding",51010,"9","SARS-CoV2 nsp8"
"EXOSC5","ENSG00000077348","protein_coding",56915,"19","SARS-CoV2 nsp8"
"EXOSC8","ENSG00000120699","protein_coding",11340,"13","SARS-CoV2 nsp8"
"F2RL1","ENSG00000164251","protein_coding",2150,"5","SARS-CoV2 orf9c"
"FAM162A","ENSG00000114023","protein_coding",26355,"3","SARS-CoV2 nsp7"
"FAM8A1","ENSG00000137414","protein_coding",51439,"6","SARS-CoV2 M"
"FAM98A","ENSG00000119812","protein_coding",25940,"2","SARS-CoV2 N"
"FAR2","ENSG00000064763","protein_coding",55711,"12","SARS-CoV2 orf9c"
"FASTKD5","ENSG00000215251","protein_coding",60493,"20","SARS-CoV2 M"
"FBLN5","ENSG00000140092","protein_coding",10516,"14","SARS-CoV2 nsp9"
"FBN1","ENSG00000166147","protein_coding",2200,"15","SARS-CoV2 nsp9"
"FBN2","ENSG00000138829","protein_coding",2201,"5","SARS-CoV2 nsp9"
"FBXL12","ENSG00000127452","protein_coding",54850,"19","SARS-CoV2 orf8"
"FKBP10","ENSG00000141756","protein_coding",60681,"17","SARS-CoV2 orf8"
"FKBP15","ENSG00000119321","protein_coding",23307,"9","SARS-CoV2 nsp2"
"FKBP7","ENSG00000079150","protein_coding",51661,"2","SARS-CoV2 orf8"
"FOXRED2","ENSG00000100350","protein_coding",80020,"22","SARS-CoV2 orf8"
"FYCO1","ENSG00000163820","protein_coding",79443,"3","SARS-CoV2 nsp13"
"G3BP1","ENSG00000145907","protein_coding",10146,"5","SARS-CoV2 N"
"G3BP2","ENSG00000138757","protein_coding",9908,"4","SARS-CoV2 N"
"GCC1","ENSG00000179562","protein_coding",79571,"7","SARS-CoV2 nsp13"
"GCC2","ENSG00000135968","protein_coding",9648,"2","SARS-CoV2 nsp13"
"GDF15","ENSG00000130513","protein_coding",9518,"19","SARS-CoV2 orf8"
