"SV1"	"SV2"	"SV3"	"SV4"	"SV5"	"SV6"	"SV7"	"SV8"	"SV9"	"SV10"	"SV11"	"SV12"	"SV13"	"SV14"	"SV15"	"SV16"	"SV17"	"SV18"	"SV19"	"SV20"	"AGE_GROUP"
0.0388284579166084	-0.0788134507431589	0.0337163496963344	-0.0855241337376857	0.0333473036344932	0.23847573415432	-0.0940181085232741	0.00101926452801317	-0.0202279077086031	0.0226613193018473	-0.131224565217188	0.19141992241485	-0.0332240689087158	0.205832271118166	-0.0217429802314045	0.0800556895603387	-0.145001761883614	0.0841827715769811	0.101925964843641	-0.0815670439276897	5
-0.00856098632039454	-0.18381691817082	0.017315263828996	0.120309874317144	0.00147015116306611	0.0103136543233608	0.137184885029398	-0.00792442071765996	0.0176062461064395	0.146267890724333	-0.0840365837726103	-0.023047077233998	-0.00415586267524783	-0.00887896901110326	-0.233349515134955	-0.00259217348009807	-0.099032683513172	-0.0920230126819729	-0.0286870406092001	0.0392727968888815	4
-0.0638740165614042	0.105416405597175	-0.0569260384920536	0.0265976041179945	0.088756134155592	-0.0635204977735908	0.0409338936794015	-0.000283689134426568	-0.0872174513557543	0.0867114027267694	-0.0353344432314827	0.0811267537028038	0.0908211010080759	0.0546084854355316	-0.00911361648971582	0.0796115552110185	-0.0150006492518446	-0.0613304909250758	0.0671646569437813	0.00836959261563306	5
-0.115226667445034	0.000923029315292201	-0.0195429011070004	0.0348022896129749	-0.142938955372095	-0.0205005113396547	-0.00177755967268285	0.0141298389467496	0.0191345493422233	-0.0523235483506287	0.0373199981376076	-0.0868577996824367	0.0115402101808704	-0.00574698923325193	-0.0373665605190744	-0.0889377576430213	0.0534443986436749	0.0142812415725671	-0.00236633991491791	-0.0184333716379904	1
0.0174794517307303	-0.0739515002648707	-0.0657940336914065	0.0121941251547754	0.048873796996681	-0.126619018006723	0.0274726198621799	-0.03225081999999	-0.0935927563299729	0.0445386345570347	-0.143457540453096	0.12388800777969	0.0502265259597333	-0.0467615780548644	-0.0563880759404637	-0.049838807482682	-0.0450606876493364	0.0318111657437232	-0.0343189049398801	0.0268310387209288	5
-0.00797805460515885	-0.142866824003606	0.112813450786503	0.119955690517154	0.0136270453355095	-0.0358097652702681	0.0616604403184037	-0.0181655664902012	0.106252887385609	0.0656092851885395	-0.072086352757385	0.0528897878134038	-0.113034718398034	0.044350736038298	0.160695899610504	-0.0990364690059028	-0.0332022434342684	-0.061863483664567	-0.0830320289411248	0.0725224850454845	5
0.107270495761745	0.155548870300586	-0.0821110171644531	-0.0472581543127019	-0.0117797685299984	-0.0494545497072021	0.0601137224276081	0.00462322640644638	0.068784787093375	0.0662663069990889	-0.0713599892974509	0.0925962880005701	-0.0111916408960549	-0.0578918405056052	0.0304175618340552	-0.0436776348990899	0.115033336845258	0.0256652899821533	-0.0200050619361555	0.125890012959013	4
-0.0119650220704932	-0.0559098648530605	-0.0586638380806349	-0.133313579586242	0.0528214244556293	0.10464360990968	0.112149519333016	-0.0437860923205742	-0.109052089272762	-0.0924937573784255	-0.0700450467359004	0.0562771383070087	-0.0308020542263607	-0.12132853821463	-0.123270248365324	-0.255082867684364	-0.0500771052767841	0.19260168754264	-0.120834846526114	-0.0594158740835684	2
0.0248351898324378	-0.15230155201671	-0.0177742749079056	0.125876211083757	0.106999136273262	0.0260133705431181	0.129907505921115	0.0045373737317562	-0.0821751736615953	0.0198739317089514	-0.0396502289612291	-0.0679105263974096	0.0670310583136503	-0.0168410073163155	-0.0696357469429601	-0.0402971207969645	-0.116699284245294	0.020528313257891	-0.00150288115304698	0.0407768660928913	5
-0.0778080904165691	0.0629150026291504	-0.0423963112897891	0.110531214188565	-0.0256977899743538	-0.00438584170976228	0.073242828008817	-0.0531181343739702	-0.226231274808429	-0.112973960069576	0.0624710608528904	-0.10096007103364	-0.0450017674183046	0.166871897058613	0.0104373283050472	0.0682096164859607	-0.043144011762855	0.0105682183366472	0.0321748895465295	0.0156758183839548	5
