"SV1"	"SV2"	"SV3"	"AGE_GROUP"
0.238726517073899	-0.0487507341006951	0.239448720236832	5
0.188445420728167	0.0398839728742769	-0.17619481942925	3
0.155521265386663	0.146535738335845	-0.0960888737140492	4
0.028400486617859	-0.0103667294690732	-0.426188445878691	4
0.239975165322753	-0.525234480709369	0.0250318408627426	4
0.188059849534974	0.0238025956912454	0.263733487317858	4
-0.0578085561904669	-0.271563208510673	-0.301675526233126	2
-0.247238741521181	0.0945121224246184	0.0557263069613539	4
-0.122657327599477	0.127398547556141	0.1992239460101	1
-0.30447675014049	0.0260086396188414	-0.0099843861467599	3
0.149247007286158	0.181405385445043	-0.143374038366524	5
0.211547865779307	0.271957744604647	0.0181076191876203	3
-0.37562219470575	-0.039192280666809	0.141206448925705	1
-0.388520050625212	-0.019211057298315	0.154703172262374	3
0.163722072008964	-0.491095646210001	0.435413597934704	4
-0.207670941329424	-0.0339880084894346	-0.120698631810825	1
0.0774873062322992	-0.211148941184674	-0.457915758076838	4
0.142791099290752	0.280998822305394	0.108291215650265	3
0.190879170723071	0.236698893541635	-0.02682872631018	3
-0.346157654514706	-0.0363908600230516	-0.0375401860634334	2
0.0753489906418393	0.257739484264409	0.155603036680123	3
